scale,job_name,step,frame_index,step_time_s,total_time_s,top_u2_mm,top_rf2_N,avg_thickness_um,min_thickness_um,max_thickness_um,max_cpress_MPa,max_compressive_press_MPa,max_signed_plastic_vol_strain,min_signed_plastic_vol_strain,max_abs_plastic_vol_strain,unloaded_zero_force_frame
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,0,0.0,0.0,0.0,0.0,150.000005960464,150.00000596046448,150.00000596046448,0.0,-0.0,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,1,0.00125000684056431,0.00125000684056431,-3.21093622801527e-08,-0.000302164349704981,149.999976758243,149.9999463558197,150.00000596046448,0.000100937970273662,3.202424704795703e-05,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,2,0.0025000162422657,0.0025000162422657,-2.54559324730508e-07,-0.000520128291100264,149.999723945826,149.9997228384018,149.9997228384018,0.000134470988996327,6.806292609932522e-05,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,3,0.00375002576038241,0.00375002576038241,-8.51358208819875e-07,-0.00169347401242703,149.999042864243,149.99903738498688,149.99905228614807,0.000369788409443572,0.00017736520385369658,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,4,0.00500078033655882,0.00500078033655882,-2.00087242774316e-06,-0.00409355107694864,149.997750404064,149.997740983963,149.9977558851242,0.000877685029990971,0.0003956830284247796,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,5,0.00625049881637096,0.00625049881637096,-4.68404823550372e-06,-0.0100028570741415,149.99564373707,149.99563992023468,149.99565482139587,0.00167355535086244,0.0007388000376522541,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,6,0.00750021729618311,0.00750021729618311,-7.77073364588432e-06,-0.0162073727697134,149.992542263565,149.99254047870636,149.99254047870636,0.00285466504283249,0.0012471546263744433,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,7,0.00875037256628275,0.00875037256628275,-1.19511660159333e-05,-0.0252096187323332,149.988247773417,149.98824894428253,149.98824894428253,0.00447499193251133,0.0019444941232601802,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,8,0.010000673122704,0.010000673122704,-1.73741937032901e-05,-0.0365365035831928,149.982626156645,149.98261630535126,149.98263120651245,0.00660497369244695,0.0028624103094140687,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,9,0.0112509736791253,0.0112509736791253,-2.41819725488313e-05,-0.0510811060667038,149.9755071581,149.9755084514618,149.9755084514618,0.00930659845471382,0.004025632825990518,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,10,0.0125002739951015,0.0125002739951015,-3.25026994687505e-05,-0.0685906112194061,149.966729819982,149.96673166751862,149.96673166751862,0.0126241501420736,0.005454556395610173,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,11,0.0137505745515227,0.0137505745515227,-4.24796817242168e-05,-0.089780755341053,149.956159661749,149.95615184307098,149.95616674423218,0.0166587978601456,0.007192624732851982,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,12,0.015000875107944,0.015000875107944,-5.42300476809032e-05,-0.114481456577778,149.943641947446,149.94363486766815,149.94364976882935,0.0213930960744619,0.009231568003694216,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,13,0.0162507873028517,0.0162507873028517,-7.28570012142882e-05,-0.153937563300133,149.929047861007,149.92904663085938,149.92904663085938,0.026947995647788,0.011623806009689966,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,14,0.0175000876188278,0.0175000876188278,-8.91756499186158e-05,-0.188203096389771,149.912267675702,149.9122679233551,149.9122679233551,0.03331633284688,0.014366680135329565,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,15,0.0187503881752491,0.0187503881752491,-0.000107647807453759,-0.22711868584156,149.893171591332,149.8931646347046,149.89317953586578,0.0405730493366718,0.017491257439057033,0.0,0.0,0.0,False
0.1,FlatUnload_2D_DPC_E50Nu015_CapS010,Compress_Down,16,0.0200006887316704,0.0200006887316704,-0.000128358267829753,-0.270976155996323,149.871653454231,149.87164735794067,149.87166225910187,0.0487570948898792,0.021015976866086323,0.0,0.0,0.0,False
