x_mm,z_mm,initial_top_y_mm,u2_mm,full_thickness_mm,full_thickness_um
0.0,0.0,0.0825,-0.011640549,0.14171890914440155,141.71890914440155
0.5,0.0,0.0825,-0.011640549,0.14171890914440155,141.71890914440155
1.0,0.0,0.0825,-0.011640558,0.14171889424324036,141.71889424324036
1.5,0.0,0.0825,-0.011640567,0.14171886444091797,141.71886444091797
2.0,0.0,0.0825,-0.011640587,0.14171883463859558,141.71883463859558
2.5,0.0,0.0825,-0.0116406055,0.141718789935112,141.718789935112
3.0,0.0,0.0825,-0.011640634,0.14171874523162842,141.71874523162842
3.5,0.0,0.0825,-0.011640663,0.14171868562698364,141.71868562698364
4.0,0.0,0.0825,-0.011640691,0.14171862602233887,141.71862602233887
4.5,0.0,0.0825,-0.011640729,0.1417185515165329,141.7185515165329
5.0,0.0,0.0825,-0.011640777,0.14171844720840454,141.71844720840454
5.5,0.0,0.0825,-0.011640825,0.14171835780143738,141.71835780143738
6.0,0.0,0.0825,-0.011640873,0.14171826839447021,141.71826839447021
6.5,0.0,0.0825,-0.01164093,0.14171814918518066,141.71814918518066
7.0,0.0,0.0825,-0.011640986,0.1417180299758911,141.7180299758911
7.5,0.0,0.0825,-0.0116410535,0.14171789586544037,141.71789586544037
8.0,0.0,0.0825,-0.01164113,0.14171774685382843,141.71774685382843
8.5,0.0,0.0825,-0.011641196,0.14171761274337769,141.71761274337769
9.0,0.0,0.0825,-0.011641282,0.14171744883060455,141.71744883060455
9.5,0.0,0.0825,-0.011641358,0.14171728491783142,141.71728491783142
10.0,0.0,0.0825,-0.011641453,0.1417171061038971,141.7171061038971
10.5,0.0,0.0825,-0.01164154,0.14171692728996277,141.71692728996277
11.0,0.0,0.0825,-0.011641644,0.14171671867370605,141.71671867370605
11.5,0.0,0.0825,-0.011641739,0.14171652495861053,141.71652495861053
12.0,0.0,0.0825,-0.011641844,0.14171631634235382,141.71631634235382
12.5,0.0,0.0825,-0.011641958,0.1417160928249359,141.7160928249359
13.0,0.0,0.0825,-0.011642072,0.1417158544063568,141.7158544063568
13.5,0.0,0.0825,-0.011642196,0.1417156159877777,141.7156159877777
14.0,0.0,0.0825,-0.01164232,0.14171536266803741,141.71536266803741
14.5,0.0,0.0825,-0.011642444,0.1417151242494583,141.7151242494583
15.0,0.0,0.0825,-0.011642577,0.14171485602855682,141.71485602855682
15.5,0.0,0.0825,-0.01164271,0.14171458780765533,141.71458780765533
16.0,0.0,0.0825,-0.011642854,0.14171430468559265,141.71430468559265
16.5,0.0,0.0825,-0.011643006,0.14171399176120758,141.71399176120758
17.0,0.0,0.0825,-0.011643158,0.1417136937379837,141.7136937379837
17.5,0.0,0.0825,-0.01164331,0.14171338081359863,141.71338081359863
18.0,0.0,0.0825,-0.011643473,0.14171305298805237,141.71305298805237
18.5,0.0,0.0825,-0.011643634,0.1417127400636673,141.7127400636673
19.0,0.0,0.0825,-0.011643806,0.14171239733695984,141.71239733695984
19.5,0.0,0.0825,-0.011643977,0.14171205461025238,141.71205461025238
20.0,0.0,0.0825,-0.0116441585,0.14171168208122253,141.71168208122253
20.5,0.0,0.0825,-0.011644339,0.14171132445335388,141.71132445335388
21.0,0.0,0.0825,-0.01164453,0.14171095192432404,141.71095192432404
21.5,0.0,0.0825,-0.01164472,0.141710564494133,141.710564494133
22.0,0.0,0.0825,-0.01164491,0.14171019196510315,141.71019196510315
22.5,0.0,0.0825,-0.01164511,0.14170978963375092,141.70978963375092
23.0,0.0,0.0825,-0.01164532,0.1417093724012375,141.7093724012375
23.5,0.0,0.0825,-0.011645529,0.14170894026756287,141.70894026756287
24.0,0.0,0.0825,-0.011645739,0.14170852303504944,141.70852303504944
24.5,0.0,0.0825,-0.011645958,0.14170809090137482,141.70809090137482
25.0,0.0,0.0825,-0.011646187,0.1417076289653778,141.7076289653778
25.5,0.0,0.0825,-0.011646416,0.141707181930542,141.707181930542
26.0,0.0,0.0825,-0.011646644,0.14170671999454498,141.70671999454498
26.5,0.0,0.0825,-0.011646883,0.14170624315738678,141.70624315738678
27.0,0.0,0.0825,-0.01164712,0.14170576632022858,141.70576632022858
27.5,0.0,0.0825,-0.011647368,0.14170527458190918,141.70527458190918
28.0,0.0,0.0825,-0.011647616,0.1417047679424286,141.7047679424286
28.5,0.0,0.0825,-0.011647873,0.141704261302948,141.704261302948
29.0,0.0,0.0825,-0.01164813,0.1417037546634674,141.7037546634674
29.5,0.0,0.0825,-0.011648396,0.14170321822166443,141.70321822166443
30.0,0.0,0.0825,-0.011648663,0.14170268177986145,141.70268177986145
30.5,0.0,0.0825,-0.011648939,0.14170213043689728,141.70213043689728
31.0,0.0,0.0825,-0.011649216,0.1417015790939331,141.7015790939331
31.5,0.0,0.0825,-0.011649491,0.14170102775096893,141.70102775096893
32.0,0.0,0.0825,-0.011649777,0.14170044660568237,141.70044660568237
32.5,0.0,0.0825,-0.011650072,0.1416998654603958,141.6998654603958
33.0,0.0,0.0825,-0.011650368,0.14169926941394806,141.69926941394806
33.5,0.0,0.0825,-0.011650663,0.1416986882686615,141.6986882686615
34.0,0.0,0.0825,-0.011650968,0.14169806241989136,141.69806241989136
34.5,0.0,0.0825,-0.011651282,0.14169743657112122,141.69743657112122
35.0,0.0,0.0825,-0.011651597,0.14169681072235107,141.69681072235107
35.5,0.0,0.0825,-0.011651911,0.14169618487358093,141.69618487358093
36.0,0.0,0.0825,-0.011652234,0.1416955441236496,141.6955441236496
36.5,0.0,0.0825,-0.011652559,0.14169488847255707,141.69488847255707
