record_type,step_name,step_time,total_time,u2_mm,rf2_N,stress_avg_MPa,strain_eng,metric,value,unit,criterion_met,note
HISTORY,Step-1 Compression,0.0,0.0,0.0,-0.0,0.0,0.0,,,,,
HISTORY,Step-1 Compression,0.0199999995529652,0.0199999995529652,-0.000300000014249235,-1.16155099868774,1.16155099868774,0.00181818190454082,,,,,
HISTORY,Step-1 Compression,0.0399999991059303,0.0399999991059303,-0.000600000028498471,-2.31463313102722,2.31463313102722,0.00363636380908164,,,,,
HISTORY,Step-1 Compression,0.0700000002980232,0.0700000002980232,-0.00104999996256083,-4.04829549789429,4.04829549789429,0.00636363613673232,,,,,
HISTORY,Step-1 Compression,0.115000002086163,0.115000002086163,-0.0017249999800697,-6.65808010101318,6.65808010101318,0.0104545453337557,,,,,
HISTORY,Step-1 Compression,0.165000006556511,0.165000006556511,-0.00247499998658895,-9.57101345062256,9.57101345062256,0.0149999999187209,,,,,
HISTORY,Step-1 Compression,0.215000003576279,0.215000003576279,-0.00322500010952353,-11.5852403640747,11.5852403640747,0.0195454552092335,,,,,
HISTORY,Step-1 Compression,0.264999985694885,0.264999985694885,-0.00397500023245811,-12.7978134155273,12.7978134155273,0.0240909104997461,,,,,
HISTORY,Step-1 Compression,0.314999997615814,0.314999997615814,-0.00472499988973141,-13.9955549240112,13.9955549240112,0.0286363629680691,,,,,
HISTORY,Step-1 Compression,0.365000009536743,0.365000009536743,-0.00547500001266599,-15.1826610565186,15.1826610565186,0.0331818182585817,,,,,
HISTORY,Step-1 Compression,0.41499999165535,0.41499999165535,-0.00622500013560057,-16.3625717163086,16.3625717163086,0.0377272735490943,,,,,
HISTORY,Step-1 Compression,0.465000003576279,0.465000003576279,-0.00697499979287386,-17.537878036499,17.537878036499,0.0422727260174173,,,,,
HISTORY,Step-1 Compression,0.514999985694885,0.514999985694885,-0.00772499991580844,-18.7107772827148,18.7107772827148,0.0468181813079299,,,,,
HISTORY,Step-1 Compression,0.564999997615814,0.564999997615814,-0.00847500003874302,-19.8831424713135,19.8831424713135,0.0513636365984425,,,,,
HISTORY,Step-1 Compression,0.615000009536743,0.615000009536743,-0.00922499969601631,-21.0565757751465,21.0565757751465,0.0559090890667655,,,,,
HISTORY,Step-1 Compression,0.665000021457672,0.665000021457672,-0.00997500028461218,-22.232458114624,22.232458114624,0.0604545471794678,,,,,
HISTORY,Step-1 Compression,0.714999973773956,0.714999973773956,-0.0107249999418855,-23.4119720458984,23.4119720458984,0.0649999996477907,,,,,
HISTORY,Step-1 Compression,0.764999985694885,0.764999985694885,-0.0114749995991588,-24.5961284637451,24.5961284637451,0.0695454521161137,,,,,
HISTORY,Step-1 Compression,0.814999997615814,0.814999997615814,-0.0122250001877546,-25.785795211792,25.785795211792,0.0740909102288159,,,,,
HISTORY,Step-1 Compression,0.865000009536743,0.865000009536743,-0.0129749998450279,-26.9817123413086,26.9817123413086,0.0786363626971389,,,,,
HISTORY,Step-1 Compression,0.915000021457672,0.915000021457672,-0.0137250004336238,-28.1845092773438,28.1845092773438,0.0831818208098412,,,,,
HISTORY,Step-1 Compression,0.964999973773956,0.964999973773956,-0.0144750000908971,-29.3947257995605,29.3947257995605,0.0877272732781641,,,,,
HISTORY,Step-1 Compression,1.0,1.0,-0.0149999996647239,-30.246561050415,30.246561050415,0.0909090888771144,,,,,
HISTORY,Step-2 Unload,0.0,1.0,-0.0149999996647239,-30.246561050415,30.246561050415,0.0909090888771144,,,,,
HISTORY,Step-2 Unload,0.0199999995529652,1.01999999955297,-0.0147000001743436,-28.8089866638184,28.8089866638184,0.0890909101475369,,,,,
HISTORY,Step-2 Unload,0.0399999991059303,1.03999999910593,-0.0143999997526407,-27.5157566070557,27.5157566070557,0.0872727257735801,,,,,
HISTORY,Step-2 Unload,0.0700000002980232,1.07000000029802,-0.0139499995857477,-25.5864429473877,25.5864429473877,0.0845454520348347,,,,,
HISTORY,Step-2 Unload,0.115000002086163,1.11500000208616,-0.0132750002667308,-22.7039070129395,22.7039070129395,0.0804545470710957,,,,,
HISTORY,Step-2 Unload,0.165000006556511,1.16500000655651,-0.0125249996781349,-19.5164165496826,19.5164165496826,0.0759090889583934,,,,,
HISTORY,Step-2 Unload,0.215000003576279,1.21500000357628,-0.0117750000208616,-16.3449268341064,16.3449268341064,0.0713636364900705,,,,,
HISTORY,Step-2 Unload,0.264999985694885,1.26499998569489,-0.0110250003635883,-13.1892833709717,13.1892833709717,0.0668181840217475,,,,,
HISTORY,Step-2 Unload,0.314999997615814,1.31499999761581,-0.0102749997749925,-10.077712059021,10.077712059021,0.0622727259090452,,,,,
HISTORY,Step-2 Unload,0.365000009536743,1.36500000953674,-0.00952500011771917,-7.37319231033325,7.37319231033325,0.0577272734407223,,,,,
HISTORY,Step-2 Unload,0.41499999165535,1.41499999165535,-0.00877500046044588,-4.99907875061035,4.99907875061035,0.0531818209723993,,,,,
HISTORY,Step-2 Unload,0.465000003576279,1.46500000357628,-0.00802499987185001,-2.72122097015381,2.72122097015381,0.0486363628596971,,,,,
HISTORY,Step-2 Unload,0.514999985694885,1.51499998569489,-0.00727500021457672,-1.06722223758698,1.06722223758698,0.0440909103913741,,,,,
HISTORY,Step-2 Unload,0.564999997615814,1.56499999761581,-0.00652500009164214,-0.0749757438898087,0.0749757438898087,0.0395454551008615,,,,,
HISTORY,Step-2 Unload,0.615000009536743,1.61500000953674,-0.00577499996870756,-0.0,0.0,0.0349999998103489,,,,,
HISTORY,Step-2 Unload,0.665000021457672,1.66500002145767,-0.00502499984577298,-0.0,0.0,0.0304545445198363,,,,,
HISTORY,Step-2 Unload,0.714999973773956,1.71499997377396,-0.00427500018849969,-0.0,0.0,0.0259090920515133,,,,,
HISTORY,Step-2 Unload,0.764999985694885,1.76499998569489,-0.00352500006556511,-0.0,0.0,0.0213636367610007,,,,,
HISTORY,Step-2 Unload,0.814999997615814,1.81499999761581,-0.00277499994263053,-0.0,0.0,0.0168181814704881,,,,,
