step_name,stage,frame_index,step_time,process_coordinate,top_plate_u2_mm,total_thickness_mm,active_layer_thickness_mm,collector_thickness_mm
Step-1 Compression,COMPRESSION,0,0.0,0.0,0.0,0.15000000596046448,0.13300000131130219,0.017000004649162292
Step-1 Compression,COMPRESSION,1,0.019999999552965164,0.019999999552965164,-0.0003000000142492354,0.14971323490645205,0.13271368600061167,0.01699954890584037
Step-1 Compression,COMPRESSION,2,0.03999999910593033,0.03999999910593033,-0.0006000000284984708,0.14942636818430396,0.1324272806830926,0.01699908750121138
Step-1 Compression,COMPRESSION,3,0.07000000029802322,0.07000000029802322,-0.0010499999625608325,0.1489961143167077,0.13199772047103842,0.01699839384566927
Step-1 Compression,COMPRESSION,4,0.11500000208616257,0.11500000208616257,-0.001724999980069697,0.14835084243969449,0.13135349191287982,0.016997350526814677
Step-1 Compression,COMPRESSION,5,0.16500000655651093,0.16500000655651093,-0.002474999986588955,0.14763150629908184,0.13063534560454912,0.016996160694532726
Step-1 Compression,COMPRESSION,6,0.2150000035762787,0.2150000035762787,-0.0032250001095235348,0.14689241208380732,0.12989780184857208,0.016994610235235262
Step-1 Compression,COMPRESSION,7,0.26499998569488525,0.26499998569488525,-0.003975000232458115,0.14615265820523332,0.12915958668078287,0.016993071524450468
Step-1 Compression,COMPRESSION,8,0.3149999976158142,0.3149999976158142,-0.004724999889731407,0.14541256764276372,0.12842099011090832,0.01699157753185538
Step-1 Compression,COMPRESSION,9,0.36500000953674316,0.36500000953674316,-0.005475000012665987,0.14467222374495226,0.12768209624245594,0.01699012750249633
Step-1 Compression,COMPRESSION,10,0.41499999165534973,0.41499999165534973,-0.006225000135600567,0.14393168889320054,0.12694297147201858,0.016988717421181958
Step-1 Compression,COMPRESSION,11,0.4650000035762787,0.4650000035762787,-0.006974999792873859,0.14319101098959336,0.12620366828072713,0.01698734270886621
Step-1 Compression,COMPRESSION,12,0.5149999856948853,0.5149999856948853,-0.007724999915808439,0.14245025346482154,0.1254642532528484,0.016986000211973114
Step-1 Compression,COMPRESSION,13,0.5649999976158142,0.5649999976158142,-0.008475000038743019,0.1417093889331202,0.12472470741941225,0.016984681513707967
Step-1 Compression,COMPRESSION,14,0.6150000095367432,0.6150000095367432,-0.009224999696016312,0.1409684667409736,0.12398508309864659,0.01698338364232701
Step-1 Compression,COMPRESSION,15,0.6650000214576721,0.6650000214576721,-0.009975000284612179,0.140227503262702,0.12324540090500427,0.016982102357697725
Step-1 Compression,COMPRESSION,16,0.7149999737739563,0.7149999737739563,-0.010724999941885471,0.13948651013761854,0.12250567627437674,0.016980833863241798
Step-1 Compression,COMPRESSION,17,0.7649999856948853,0.7649999856948853,-0.011474999599158764,0.1387454963313569,0.1217659214028775,0.016979574928479402
Step-1 Compression,COMPRESSION,18,0.8149999976158142,0.8149999976158142,-0.012225000187754631,0.1380044911498313,0.1210261702746104,0.016978320875220887
Step-1 Compression,COMPRESSION,19,0.8650000095367432,0.8650000095367432,-0.012974999845027924,0.13726350667331322,0.12028643691034578,0.01697706976296745
Step-1 Compression,COMPRESSION,20,0.9150000214576721,0.9150000214576721,-0.01372500043362379,0.13652265661777108,0.11954684126366305,0.016975815354108012
Step-1 Compression,COMPRESSION,21,0.9649999737739563,0.9649999737739563,-0.014475000090897083,0.13578191866309075,0.11880736503919688,0.016974553623893857
Step-1 Compression,COMPRESSION,22,1.0,1.0,-0.014999999664723873,0.13526352008256157,0.1182898647293017,0.016973655353259863
Step-2 Unload,UNLOAD,0,0.0,1.0,-0.014999999664723873,0.13526352008256157,0.1182898647293017,0.016973655353259863
Step-2 Unload,UNLOAD,1,0.019999999552965164,1.0199999995529652,-0.014700000174343586,0.13554409869252096,0.11857006813116182,0.016974030561359148
Step-2 Unload,UNLOAD,2,0.03999999910593033,1.0399999991059303,-0.014399999752640724,0.1358294145416543,0.11885491531746474,0.016974499224189553
Step-2 Unload,UNLOAD,3,0.05999999865889549,1.0599999986588955,-0.014100000262260437,0.13611514188304474,0.11914015285810443,0.016974989024940296
Step-2 Unload,UNLOAD,4,0.09000000357627869,1.0900000035762787,-0.013650000095367432,0.136543901201633,0.11956816574157972,0.0169757354600533
Step-2 Unload,UNLOAD,5,0.13500000536441803,1.135000005364418,-0.012974999845027924,0.13718721153166274,0.12021034940470757,0.016976862126955178
Step-2 Unload,UNLOAD,6,0.1850000023841858,1.1850000023841858,-0.012225000187754631,0.1379021869457832,0.12092407260191121,0.016978114343871996
Step-2 Unload,UNLOAD,7,0.23499999940395355,1.2349999994039536,-0.011474999599158764,0.13861013354305635,0.12163076908556215,0.016979364457494192
Step-2 Unload,UNLOAD,8,0.2849999964237213,1.2849999964237213,-0.010724999941885471,0.13922032092252964,0.12223975925037525,0.016980561672154386
Step-2 Unload,UNLOAD,9,0.33500000834465027,1.3350000083446503,-0.009975000284612179,0.13966856719600274,0.1226870592038192,0.01698150799218353
Step-2 Unload,UNLOAD,10,0.38499999046325684,1.3849999904632568,-0.009224999696016312,0.14001784160348874,0.1230351653872588,0.01698267621622994
Step-2 Unload,UNLOAD,11,0.4350000023841858,1.4350000023841858,-0.008475000038743019,0.14029112243773223,0.12330955569746227,0.016981566740269953
Step-2 Unload,UNLOAD,12,0.48500001430511475,1.4850000143051147,-0.007724999915808439,0.14045580187479767,0.12347426249347641,0.01698153938132127
Step-2 Unload,UNLOAD,13,0.5350000262260437,1.5350000262260437,-0.006974999792873859,0.14049726682174485,0.12351602105801918,0.01698124576372568
Step-2 Unload,UNLOAD,14,0.5849999785423279,1.5849999785423279,-0.006225000135600567,0.14050361719565888,0.12352246317441465,0.016981154021244234
Step-2 Unload,UNLOAD,15,0.6349999904632568,1.6349999904632568,-0.005475000012665987,0.14049766561641092,0.12351631206000409,0.016981353556406828
Step-2 Unload,UNLOAD,16,0.6850000023841858,1.6850000023841858,-0.004724999889731407,0.14048649751479508,0.12350538550559426,0.016981112009200827
Step-2 Unload,UNLOAD,17,0.7350000143051147,1.7350000143051147,-0.003975000232458115,0.1404755506531022,0.1234948197393238,0.016980730913778386
