record_type,step_name,step_time,total_time,u2_mm,rf2_N,stress_avg_MPa,strain_eng,metric,value,unit,criterion_met,note
HISTORY,Step-1 Compression,0.0,0.0,0.0,-0.0,0.0,0.0,,,,,
HISTORY,Step-1 Compression,0.019999999552965164,0.019999999552965164,-0.0003000000142492354,-1.1272109746932983,1.1272109746932983,0.0020000000949949026,,,,,
HISTORY,Step-1 Compression,0.03999999910593033,0.03999999910593033,-0.0006000000284984708,-2.24845027923584,2.24845027923584,0.004000000189989805,,,,,
HISTORY,Step-1 Compression,0.05999999865889549,0.05999999865889549,-0.0008999999845400453,-3.3718998432159424,3.3718998432159424,0.005999999896933636,,,,,
HISTORY,Step-1 Compression,0.09000000357627869,0.09000000357627869,-0.0013500000350177288,-5.062326431274414,5.062326431274414,0.009000000233451527,,,,,
HISTORY,Step-1 Compression,0.13500000536441803,0.13500000536441803,-0.002025000052526593,-7.609554767608643,7.609554767608643,0.013500000350177288,,,,,
HISTORY,Step-1 Compression,0.1850000023841858,0.1850000023841858,-0.0027749999426305294,-10.120984077453613,10.120984077453613,0.018499999617536865,,,,,
HISTORY,Step-1 Compression,0.23499999940395355,0.23499999940395355,-0.0035250000655651093,-10.622661590576172,10.622661590576172,0.02350000043710073,,,,,
HISTORY,Step-1 Compression,0.2849999964237213,0.2849999964237213,-0.004275000188499689,-11.112027168273926,11.112027168273926,0.028500001256664596,,,,,
HISTORY,Step-1 Compression,0.33500000834465027,0.33500000834465027,-0.005024999845772982,-11.607261657714844,11.607261657714844,0.03349999897181988,,,,,
HISTORY,Step-1 Compression,0.38499999046325684,0.38499999046325684,-0.0057749999687075615,-12.109055519104004,12.109055519104004,0.03849999979138374,,,,,
HISTORY,Step-1 Compression,0.4350000023841858,0.4350000023841858,-0.006525000091642141,-12.617592811584473,12.617592811584473,0.04350000061094761,,,,,
HISTORY,Step-1 Compression,0.48500001430511475,0.48500001430511475,-0.007275000214576721,-13.133027076721191,13.133027076721191,0.048500001430511475,,,,,
HISTORY,Step-1 Compression,0.5350000262260437,0.5350000262260437,-0.008024999871850014,-13.655501365661621,13.655501365661621,0.05349999914566676,,,,,
HISTORY,Step-1 Compression,0.5849999785423279,0.5849999785423279,-0.008775000460445881,-14.18515682220459,14.18515682220459,0.058500003069639206,,,,,
HISTORY,Step-1 Compression,0.6349999904632568,0.6349999904632568,-0.009525000117719173,-14.722132682800293,14.722132682800293,0.0635000007847945,,,,,
HISTORY,Step-1 Compression,0.6850000023841858,0.6850000023841858,-0.010274999774992466,-15.26656723022461,15.26656723022461,0.06849999849994978,,,,,
HISTORY,Step-1 Compression,0.7350000143051147,0.7350000143051147,-0.011025000363588333,-15.81860065460205,15.81860065460205,0.07350000242392223,,,,,
HISTORY,Step-1 Compression,0.7850000262260437,0.7850000262260437,-0.011775000020861626,-16.378374099731445,16.378374099731445,0.07850000013907751,,,,,
HISTORY,Step-1 Compression,0.8349999785423279,0.8349999785423279,-0.012524999678134918,-16.94603157043457,16.94603157043457,0.08349999785423279,,,,,
HISTORY,Step-1 Compression,0.8849999904632568,0.8849999904632568,-0.013275000266730785,-17.52172088623047,17.52172088623047,0.08850000177820525,,,,,
HISTORY,Step-1 Compression,0.9350000023841858,0.9350000023841858,-0.014024999924004078,-18.105592727661133,18.105592727661133,0.09349999949336052,,,,,
HISTORY,Step-1 Compression,0.9850000143051147,0.9850000143051147,-0.01477499958127737,-18.69780158996582,18.69780158996582,0.09849999720851581,,,,,
HISTORY,Step-1 Compression,1.0,1.0,-0.014999999664723873,-18.877159118652344,18.877159118652344,0.09999999776482582,,,,,
HISTORY,Step-2 Unload,0.0,1.0,-0.014999999664723873,-18.877159118652344,18.877159118652344,0.09999999776482582,,,,,
HISTORY,Step-2 Unload,0.019999999552965164,1.0199999995529652,-0.014700000174343586,-17.53652572631836,17.53652572631836,0.09800000116229057,,,,,
HISTORY,Step-2 Unload,0.03999999910593033,1.0399999991059303,-0.014399999752640724,-16.205547332763672,16.205547332763672,0.09599999835093817,,,,,
HISTORY,Step-2 Unload,0.05999999865889549,1.0599999986588955,-0.014100000262260437,-14.87842082977295,14.87842082977295,0.09400000174840292,,,,,
HISTORY,Step-2 Unload,0.07999999821186066,1.0799999982118607,-0.013799999840557575,-13.554914474487305,13.554914474487305,0.0919999989370505,,,,,
HISTORY,Step-2 Unload,0.10999999940395355,1.1099999994039536,-0.01334999967366457,-11.57623291015625,11.57623291015625,0.08899999782443047,,,,,
HISTORY,Step-2 Unload,0.1550000011920929,1.155000001192093,-0.012675000354647636,-8.622746467590332,8.622746467590332,0.08450000236431758,,,,,
HISTORY,Step-2 Unload,0.20499999821186066,1.2049999982118607,-0.01192499976605177,-5.3613152503967285,5.3613152503967285,0.07949999844034514,,,,,
HISTORY,Step-2 Unload,0.2549999952316284,1.2549999952316284,-0.011175000108778477,-2.120924234390259,2.120924234390259,0.07450000072518985,,,,,
HISTORY,Step-2 Unload,0.3050000071525574,1.3050000071525574,-0.010425000451505184,-0.00010217077942797914,0.00010217077942797914,0.06950000301003456,,,,,
HISTORY,Step-2 Unload,0.35499998927116394,1.354999989271164,-0.009674999862909317,-0.0,0.0,0.06449999908606212,,,,,
HISTORY,Step-2 Unload,0.4050000011920929,1.405000001192093,-0.008925000205636024,-0.0,0.0,0.05950000137090683,,,,,
HISTORY,Step-2 Unload,0.45500001311302185,1.4550000131130219,-0.008174999617040157,-0.0,0.0,0.05449999744693439,,,,,
HISTORY,Step-2 Unload,0.5049999952316284,1.5049999952316284,-0.007424999959766865,-0.0,0.0,0.0494999997317791,,,,,
HISTORY,Step-2 Unload,0.5550000071525574,1.5550000071525574,-0.006674999836832285,-0.0,0.0,0.04449999891221523,,,,,
HISTORY,Step-2 Unload,0.6050000190734863,1.6050000190734863,-0.005925000179558992,-0.0,0.0,0.03950000119705995,,,,,
HISTORY,Step-2 Unload,0.6549999713897705,1.6549999713897705,-0.0051750000566244125,-0.0,0.0,0.034500000377496086,,,,,
HISTORY,Step-2 Unload,0.7049999833106995,1.7049999833106995,-0.004424999933689833,-0.0,0.0,0.02949999955793222,,,,,
HISTORY,Step-2 Unload,0.7549999952316284,1.7549999952316284,-0.0036750000435858965,-0.0,0.0,0.024500000290572643,,,,,
HISTORY,Step-2 Unload,0.8050000071525574,1.8050000071525574,-0.0029249999206513166,-0.0,0.0,0.019499999471008778,,,,,
HISTORY,Step-2 Unload,0.8550000190734863,1.8550000190734863,-0.0021750000305473804,-0.0,0.0,0.014500000203649204,,,,,
HISTORY,Step-2 Unload,0.9049999713897705,1.9049999713897705,-0.0014250000240281224,-0.0,0.0,0.009500000160187483,,,,,
HISTORY,Step-2 Unload,0.9549999833106995,1.9549999833106995,-0.0006750000175088644,-0.0,0.0,0.004500000116725763,,,,,
HISTORY,Step-2 Unload,1.0,2.0,0.0,-0.0,0.0,0.0,,,,,
SUMMARY,,,,,,,,minimum_average_thickness_compression,0.1353904860849927,mm,,
SUMMARY,,,,,,,,residual_average_thickness_unloaded,0.139321804788328,mm,,
SUMMARY,,,,,,,,maximum_abs_RF2,18.877159118652344,N,,
SUMMARY,,,,,,,,maximum_average_compressive_stress,18.877159118652344,MPa,,
SUMMARY,,,,,,,,maximum_engineering_compressive_strain,0.09999999776482582,1,,
SUMMARY,,,,,,,,maximum_PEEQ,0.08063700050115585,1,,
SUMMARY,,,,,,,,final_ALLPD,0.14883199334144592,N*mm,,
SUMMARY,,,,,,,,final_ALLIE,0.14884263277053833,N*mm,,
SUMMARY,,,,,,,,criterion_residual_thickness_below_initial,0.139321804788328,mm,True,判据：residual thickness < 0.149999 mm
SUMMARY,,,,,,,,criterion_ALLPD_positive,0.14883199334144592,N*mm,True,判据：ALLPD > 1e-12 N*mm
SUMMARY,,,,,,,,criterion_PEEQ_nonzero,0.08063700050115585,1,True,判据：PEEQ > 1e-10
SUMMARY,,,,,,,,plasticity_judgement,PLASTIC_COMPRESSION,,True,三个判据均满足，材料发生塑性压缩。
SUMMARY,,,,,,,,final_ALLSD,0.0004640949482563883,N*mm,,
SUMMARY,,,,,,,,final_ALLSD_over_ALLIE,0.0031180243161369994,1,,稳定化对照模型的人工耗散能比例。
