record_type,step_name,step_time,total_time,u2_mm,rf2_N,stress_avg_MPa,strain_eng,metric,value,unit,criterion_met,note
HISTORY,Step-1 Compression,0.0,0.0,0.0,-0.0,0.0,0.0,,,,,
HISTORY,Step-1 Compression,0.019999999552965164,0.019999999552965164,-0.0003000000142492354,-1.3396568298339844,1.3396568298339844,0.0020000000949949026,,,,,
HISTORY,Step-1 Compression,0.03999999910593033,0.03999999910593033,-0.0006000000284984708,-2.676079511642456,2.676079511642456,0.004000000189989805,,,,,
HISTORY,Step-1 Compression,0.07000000029802322,0.07000000029802322,-0.0010499999625608325,-4.686559677124023,4.686559677124023,0.00699999975040555,,,,,
HISTORY,Step-1 Compression,0.11500000208616257,0.11500000208616257,-0.001724999980069697,-7.715610504150391,7.715610504150391,0.011499999867131313,,,,,
HISTORY,Step-1 Compression,0.16500000655651093,0.16500000655651093,-0.002474999986588955,-10.872903823852539,10.872903823852539,0.016499999910593033,,,,,
HISTORY,Step-1 Compression,0.2150000035762787,0.2150000035762787,-0.0032250001095235348,-12.13603687286377,12.13603687286377,0.0215000007301569,,,,,
HISTORY,Step-1 Compression,0.26499998569488525,0.26499998569488525,-0.003975000232458115,-13.335712432861328,13.335712432861328,0.026500001549720764,,,,,
HISTORY,Step-1 Compression,0.3149999976158142,0.3149999976158142,-0.004724999889731407,-14.50679874420166,14.50679874420166,0.03149999926487605,,,,,
HISTORY,Step-1 Compression,0.36500000953674316,0.36500000953674316,-0.005475000012665987,-15.658330917358398,15.658330917358398,0.03650000008443992,,,,,
HISTORY,Step-1 Compression,0.41499999165534973,0.41499999165534973,-0.006225000135600567,-16.796785354614258,16.796785354614258,0.041500000904003784,,,,,
HISTORY,Step-1 Compression,0.4650000035762787,0.4650000035762787,-0.006974999792873859,-17.92738151550293,17.92738151550293,0.046499998619159065,,,,,
HISTORY,Step-1 Compression,0.5149999856948853,0.5149999856948853,-0.007724999915808439,-19.05489730834961,19.05489730834961,0.05149999943872293,,,,,
HISTORY,Step-1 Compression,0.5649999976158142,0.5649999976158142,-0.008475000038743019,-20.181489944458008,20.181489944458008,0.056500000258286796,,,,,
HISTORY,Step-1 Compression,0.6150000095367432,0.6150000095367432,-0.009224999696016312,-21.310453414916992,21.310453414916992,0.06149999797344208,,,,,
HISTORY,Step-1 Compression,0.6650000214576721,0.6650000214576721,-0.009975000284612179,-22.44390106201172,22.44390106201172,0.06650000189741453,,,,,
HISTORY,Step-1 Compression,0.7149999737739563,0.7149999737739563,-0.010724999941885471,-23.583534240722656,23.583534240722656,0.07149999961256981,,,,,
HISTORY,Step-1 Compression,0.7649999856948853,0.7649999856948853,-0.011474999599158764,-24.730710983276367,24.730710983276367,0.0764999973277251,,,,,
HISTORY,Step-1 Compression,0.8149999976158142,0.8149999976158142,-0.012225000187754631,-25.888839721679688,25.888839721679688,0.08150000125169754,,,,,
HISTORY,Step-1 Compression,0.8650000095367432,0.8650000095367432,-0.012974999845027924,-27.059648513793945,27.059648513793945,0.08649999896685283,,,,,
HISTORY,Step-1 Compression,0.9150000214576721,0.9150000214576721,-0.01372500043362379,-28.25779151916504,28.25779151916504,0.09150000289082527,,,,,
HISTORY,Step-1 Compression,0.9649999737739563,0.9649999737739563,-0.014475000090897083,-29.480867385864258,29.480867385864258,0.09650000060598056,,,,,
HISTORY,Step-1 Compression,1.0,1.0,-0.014999999664723873,-30.35802459716797,30.35802459716797,0.09999999776482582,,,,,
HISTORY,Step-2 Unload,0.0,1.0,-0.014999999664723873,-30.35802459716797,30.35802459716797,0.09999999776482582,,,,,
HISTORY,Step-2 Unload,0.019999999552965164,1.0199999995529652,-0.014700000174343586,-28.540821075439453,28.540821075439453,0.09800000116229057,,,,,
HISTORY,Step-2 Unload,0.03999999910593033,1.0399999991059303,-0.014399999752640724,-26.967639923095703,26.967639923095703,0.09599999835093817,,,,,
HISTORY,Step-2 Unload,0.07000000029802322,1.0700000002980232,-0.013949999585747719,-24.6492977142334,24.6492977142334,0.09299999723831813,,,,,
HISTORY,Step-2 Unload,0.11500000208616257,1.1150000020861626,-0.013275000266730785,-21.190908432006836,21.190908432006836,0.08850000177820525,,,,,
HISTORY,Step-2 Unload,0.16500000655651093,1.165000006556511,-0.012524999678134918,-17.371417999267578,17.371417999267578,0.08349999785423279,,,,,
