step,frame,time_s,global_actual_avg_um,global_actual_min_um,global_actual_max_um,global_vertical_avg_um,selected_actual_avg_um,selected_actual_min_um,selected_actual_max_um,selected_vertical_avg_um,selected_vertical_min_um,selected_vertical_max_um,selected_avg_mid_x_mm,selected_max_cpress_mpa,global_max_cpress_mpa
Clamp_Down,0,0.0,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641304342643075,0.0,0.0
Clamp_Down,126,0.00062999950023368,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641304240902315,0.0,0.0
Clamp_Down,251,0.0012549988459795713,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641304015307494,0.0,0.0
Clamp_Down,376,0.0018799982499331236,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130338577297,0.0,0.0
Clamp_Down,501,0.002504997653886676,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641302627493733,0.0,0.0
Clamp_Down,626,0.0031299968250095844,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641301790096712,0.0,0.0
Clamp_Down,751,0.0037549962289631367,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641300624139934,0.0,0.0
Clamp_Down,876,0.004379995632916689,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129956887812,0.0,0.0
Clamp_Down,1001,0.005004995036870241,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641298879665843,0.0,0.0
Clamp_Down,1126,0.005629993975162506,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.6412977249687,0.0,0.0
Clamp_Down,1251,0.006254992447793484,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641296672274812,0.0,0.0
Clamp_Down,1376,0.006879991386085749,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641295739753094,0.0,0.0
Clamp_Down,1501,0.007504990324378014,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294879175234,0.0,0.0
Clamp_Down,1626,0.008129989728331566,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129437105149,0.0,0.0
Clamp_Down,1751,0.008754988200962543,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294107371916,0.0,0.0
Clamp_Down,1876,0.009379986673593521,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294012481687,0.0,0.0
Clamp_Down,2001,0.010004986077547073,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641293988338973,0.0,0.0
Clamp_Down,2126,0.010629984550178051,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294375076722,0.0,0.0
Clamp_Down,2251,0.011254983954131603,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129482382836,0.0,0.0
Clamp_Down,2376,0.011879982426762581,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641295668086354,0.0,0.0
Clamp_Down,2501,0.012504981830716133,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641296673733752,0.0,0.0
Clamp_Down,2626,0.01312998030334711,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.6412976176636,0.0,0.0
Clamp_Down,2751,0.013754979707300663,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641298626892677,0.0,0.0
Clamp_Down,2876,0.014379979111254215,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641299659360737,0.0,0.0
Clamp_Down,3001,0.015004978515207767,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.6413005672166,0.0,0.0
Clamp_Down,3126,0.015629976987838745,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641301558405445,0.0,0.0
Clamp_Down,3251,0.016254978254437447,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641302532300575,0.0,0.0
Clamp_Down,3376,0.016879977658391,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130346334846,0.0,0.0
Clamp_Down,3501,0.01750497706234455,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130395203838,0.0,0.0
Clamp_Down,3626,0.018129976466298103,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130418677861,0.0,0.0
Clamp_Down,3751,0.018754975870251656,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130439782728,0.0,0.0
Clamp_Down,3876,0.019379975274205208,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641304180811602,0.0,0.0
Clamp_Down,4001,0.02000497467815876,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641303936082355,0.0,0.0
Clamp_Down,4126,0.020629974082112312,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130342619807,0.0,0.0
Clamp_Down,4251,0.021254973486065865,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641302668362066,0.0,0.0
Clamp_Down,4376,0.021879972890019417,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130179953229,0.0,0.0
Clamp_Down,4501,0.02250497229397297,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130070615325,0.0,0.0
Clamp_Down,4626,0.02312997169792652,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129986843155,0.0,0.0
Clamp_Down,4751,0.023754971101880074,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641298848057126,0.0,0.0
Clamp_Down,4876,0.024379968643188477,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641297717608293,0.0,0.0
Clamp_Down,5001,0.02500496804714203,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129674071051,0.0,0.0
Clamp_Down,5126,0.02562996745109558,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641295811996,0.0,0.0
Clamp_Down,5251,0.026254966855049133,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.6412950162577,0.0,0.0
Clamp_Down,5376,0.026879964396357536,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294388683086,0.0,0.0
Clamp_Down,5501,0.02750496380031109,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.6412939993926,0.0,0.0
Clamp_Down,5626,0.02812996320426464,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641293992155152,0.0,0.0
Clamp_Down,5751,0.028754960745573044,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294122277618,0.0,0.0
Clamp_Down,5876,0.029379960149526596,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294419308615,0.0,0.0
Clamp_Down,6001,0.03000495955348015,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129470914165,0.0,0.0
Clamp_Down,6126,0.0306299589574337,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129566947209,0.0,0.0
Clamp_Down,6251,0.03125495836138725,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129667748897,0.0,0.0
Clamp_Down,6376,0.031879957765340805,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641297571542037,0.0,0.0
Clamp_Down,6501,0.03250495344400406,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129861611702,0.0,0.0
Clamp_Down,6626,0.03312995284795761,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641299482697764,0.0,0.0
Clamp_Down,6751,0.03375495225191116,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641300505762487,0.0,0.0
Clamp_Down,6876,0.034379951655864716,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641301518559576,0.0,0.0
Clamp_Down,7001,0.03500495105981827,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130250007828,0.0,0.0
Clamp_Down,7126,0.03562995046377182,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130330994605,0.0,0.0
Clamp_Down,7251,0.03625494986772537,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641304021381618,0.0,0.0
Clamp_Down,7376,0.036879949271678925,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130433714478,0.0,0.0
Clamp_Down,7501,0.037504952400922775,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130435159785,0.0,0.0
Clamp_Down,7626,0.03812995180487633,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641304181407758,0.0,0.0
Clamp_Down,7751,0.03875495120882988,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641303994857854,0.0,0.0
Clamp_Down,7876,0.03937995061278343,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641303505437403,0.0,0.0
Clamp_Down,8001,0.040004950016736984,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641302729938197,0.0,0.0
Clamp_Down,8126,0.040629949420690536,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641301764609178,0.0,0.0
Clamp_Down,8251,0.04125494882464409,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641300895027683,0.0,0.0
Clamp_Down,8376,0.04187994822859764,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129978842977,0.0,0.0
Clamp_Down,8501,0.04250494763255119,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129872991872,0.0,0.0
Clamp_Down,8626,0.04312994331121445,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641297883333696,0.0,0.0
Clamp_Down,8751,0.043754942715168,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.6412968312073,0.0,0.0
Clamp_Down,8876,0.04437994211912155,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641295949010434,0.0,0.0
Clamp_Down,9001,0.045004941523075104,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294834294627,0.0,0.0
Clamp_Down,9126,0.045629940927028656,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294534614694,0.0,0.0
Clamp_Down,9251,0.04625494033098221,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129402315336,0.0,0.0
Clamp_Down,9376,0.04687993973493576,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.6412940701082,0.0,0.0
Clamp_Down,9501,0.047504935413599014,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294034805778,0.0,0.0
Clamp_Down,9626,0.048129934817552567,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.6412945021535,0.0,0.0
Clamp_Down,9751,0.04875493422150612,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641294770258572,0.0,0.0
Clamp_Down,9876,0.04937993362545967,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641295531214688,0.0,0.0
Clamp_Down,10001,0.05000000074505806,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129636380539,0.0,0.0
Hold_Clamp,0,0.0,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64129636380539,0.0,0.0
Hold_Clamp,126,0.0006299999076873064,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641297395177073,0.0,0.0
Hold_Clamp,251,0.0012549996608868241,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641298577968264,0.0,0.0
Hold_Clamp,376,0.0018799994140863419,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641299495352108,0.0,0.0
Hold_Clamp,501,0.0025049992837011814,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.641300480687953,0.0,0.0
Hold_Clamp,626,0.0031299989204853773,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.0000029802327,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,-21.64130138858183,0.0,0.0
