instance,bin,z_avg_mm,node_count,section_mean_u2_mm,section_mean_current_y_mm,surface_node_count,surface_mean_u2_mm,surface_mean_current_y_mm
UPPERROLLER-1,0,-69.11819641572193,133,-0.31114581272818315,49.1115024842714,3,0.42272326350212097,1.318358023961385
UPPERROLLER-1,1,-60.0,107,-0.07686575439488777,50.29409023812998,3,0.42272646228472394,1.318361222743988
UPPERROLLER-1,2,-52.98587608337402,60,-0.4374559935182333,49.734312915802,0,,
UPPERROLLER-1,3,-47.06070613861084,88,-0.17726737125353378,49.721787468953565,3,0.422728031873703,1.318362792332967
UPPERROLLER-1,4,-39.77768225040076,53,-0.07773744244620485,49.32883495092392,3,0.42272881666819256,1.3183635671933491
UPPERROLLER-1,5,-34.70316394682853,62,-0.11659300123010913,50.485083887653964,0,,
UPPERROLLER-1,6,-27.39611106695131,86,-0.086430860163514,50.44731540319531,3,0.4227292736371358,1.3183640241622925
UPPERROLLER-1,7,-19.192533133686453,69,0.061030367578285324,48.64564405230508,3,0.4227294425169627,1.3183642029762268
UPPERROLLER-1,8,-14.366966383797783,28,0.16952154678957804,49.77177141393934,0,,
UPPERROLLER-1,9,-8.450546311169136,82,-0.059887630001800814,49.059830925813536,3,0.4227295120557149,1.3183642625808716
UPPERROLLER-1,10,-0.05163646227604634,74,0.1813944115026577,50.263124676975046,3,0.4227295120557149,1.3183642625808716
UPPERROLLER-1,11,7.219962774538526,51,-0.06527981972869705,51.29880544251087,0,,
UPPERROLLER-1,12,11.765840727707435,58,-0.008434673321658167,52.46905329104128,3,0.4227295120557149,1.3183642625808716
UPPERROLLER-1,13,19.176537649972097,70,0.061098498584968707,46.850546430689946,3,0.42272945245107013,1.3183642029762268
UPPERROLLER-1,14,26.584481732598668,58,-0.2134754678298687,50.6604102891067,0,,
UPPERROLLER-1,15,33.065960140018674,91,-0.3449736959045077,49.01290375780273,3,0.4227292835712433,1.3183640440305073
UPPERROLLER-1,16,40.08363523937407,63,0.028990342503502256,50.71237422833367,3,0.4227289656798045,1.3183637261390686
UPPERROLLER-1,17,45.50368917213296,53,-0.3317561734573178,51.732919333116065,0,,
UPPERROLLER-1,18,52.02283336805261,92,-0.23943586590821328,49.57321943342686,3,0.42272818088531494,1.3183629314104717
UPPERROLLER-1,19,60.0,107,-0.07686575133109762,50.2940902509422,3,0.4227266013622284,1.3183613618214924
UPPERROLLER-1,20,68.94340361451073,139,-0.3075091894582021,48.06303924279247,3,0.42272326350212097,1.318358023961385
LOWERROLLER-1,0,-69.11819641572193,133,0.19960174582814588,-50.52774981157224,3,-0.05804202581445376,-0.8036767939726511
LOWERROLLER-1,1,-60.0,107,0.03461972115752853,-49.74442399676158,3,-0.0580432303249836,-0.8036780009667078
LOWERROLLER-1,2,-52.98587608337402,60,0.26462809384490055,-49.71360335350037,0,,
LOWERROLLER-1,3,-47.06070613861084,88,0.10656665913252668,-50.14437825385142,3,-0.05804388721783956,-0.8036786168813705
LOWERROLLER-1,4,-39.77768225040076,53,0.05347086917960419,-50.689956604590954,3,-0.0580441839993,-0.8036789546410242
LOWERROLLER-1,5,-34.70316394682853,62,0.0551647755407518,-49.49315760981652,0,,
LOWERROLLER-1,6,-27.39611106695131,86,0.03753094682686551,-49.57872261314891,3,-0.058044347912073135,-0.8036790788173676
LOWERROLLER-1,7,-19.192533133686453,69,-0.017988503951093426,-51.58337462931008,3,-0.05804436653852463,-0.8036790962020556
LOWERROLLER-1,8,-14.366966383797783,28,-0.10536886698433331,-50.65311925751822,0,,
LOWERROLLER-1,9,-8.450546311169136,82,0.04771683156126883,-50.98256435454255,3,-0.05804437150557836,-0.8036791011691093
LOWERROLLER-1,10,-0.05163646227604634,74,-0.12191835403241016,-50.19018790991725,3,-0.05804437274734179,-0.8036791036526362
LOWERROLLER-1,11,7.219962774538526,51,0.0085011153828864,-48.77741369546629,0,,
LOWERROLLER-1,12,11.765840727707435,58,-0.04829512909054756,-47.72080699906781,3,-0.05804437150557836,-0.8036791011691093
LOWERROLLER-1,13,19.176537649972097,70,0.01604146036718573,-53.34451058709195,3,-0.05804436653852463,-0.8036790962020556
LOWERROLLER-1,14,26.584481732598668,58,0.11078050058206608,-49.165333616322485,0,,
LOWERROLLER-1,15,33.065960140018674,91,0.22205427002448302,-50.57006819988345,3,-0.05804434915383657,-0.8036790788173676
LOWERROLLER-1,16,40.08363523937407,63,-0.03772238435016738,-49.504338527600915,3,-0.05804414302110672,-0.8036788726846377
LOWERROLLER-1,17,45.50368917213296,53,0.16238616905965894,-47.92293831087508,0,,
LOWERROLLER-1,18,52.02283336805261,92,0.14720992096598542,-50.19013461138567,3,-0.058043879767258964,-0.80367860943079
LOWERROLLER-1,19,60.0,107,0.03461972756363521,-49.74442399801495,3,-0.05804327751199404,-0.8036780456701914
LOWERROLLER-1,20,68.94340361451073,139,0.2172892256606397,-51.56216213578801,3,-0.05804202581445376,-0.8036767939726511
