step,frame,step_time_s,total_time_s,global_cpress_max_mpa,all_actual_avg_um,all_actual_min_um,all_actual_max_um,all_vertical_avg_um,all_vertical_min_um,all_vertical_max_um,contact_pair_count,contact_actual_avg_um,contact_actual_min_um,contact_vertical_avg_um,contact_vertical_min_um,contact_pair_cpress_max_mpa,nip0p5_pair_count,nip0p5_actual_avg_um,nip0p5_actual_min_um,nip0p5_vertical_avg_um,nip0p5_vertical_min_um,nip1p0_pair_count,nip1p0_actual_avg_um,nip1p0_actual_min_um,nip1p0_vertical_avg_um,nip1p0_vertical_min_um,nip2p0_pair_count,nip2p0_actual_avg_um,nip2p0_actual_min_um,nip2p0_vertical_avg_um,nip2p0_vertical_min_um
Clamp_Down,0,0.0,0.0,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
Clamp_Down,126,0.00062999950023368,0.00062999950023368,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
Clamp_Down,251,0.0012549988459795713,0.0012549988459795713,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
Clamp_Down,376,0.0018799982499331236,0.0018799982499331236,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
Clamp_Down,501,0.002504997653886676,0.002504997653886676,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
Clamp_Down,626,0.0031299968250095844,0.0031299968250095844,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
Clamp_Down,751,0.0037549962289631367,0.0037549962289631367,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
Clamp_Down,876,0.004379995632916689,0.004379995632916689,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
Clamp_Down,1001,0.005004995036870241,0.005004995036870241,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
Clamp_Down,1126,0.005629993975162506,0.005629993975162506,0.0,150.0000029802322,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,150.00000596046448,0,,,,,0.0,21,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,42,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448,63,150.0000029802322,150.0000029802322,150.00000596046448,150.00000596046448
