step,frame_index,step_time,total_time,top_u2_mm,top_rf2_N,max_cpress_MPa,max_compressive_PRESS_MPa,pevol_min,pevol_max,pevol_max_abs,avg_thickness_um,min_thickness_um,max_thickness_um,column_count,unloaded_zero_contact
Compress_Down,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,150.00000596046448,150.00000596046448,150.00000596046448,121,False
Compress_Down,1,0.019999999552965164,0.019999999552965164,-0.0003000000142492354,-76.65117645263672,12.933485984802246,4.457579667369525,0.0,0.0,0.0,149.7055409672179,149.70549974873393,149.70561920631553,121,False
Compress_Down,2,0.03999999910593033,0.03999999910593033,-0.0006000000284984708,-158.54539489746094,28.984851837158203,11.408583799997965,0.0,0.0011812093725893646,0.0011812093725893646,149.41146961670282,149.4111950705701,149.4128377553352,121,False
Compress_Down,3,0.07000000029802322,0.07000000029802322,-0.0010499999625608325,-279.87872314453125,52.36355209350586,21.933096408843994,0.0,0.0030353885958902538,0.0030353885958902538,148.97025429218797,148.96948776731733,148.97361952353094,121,False
Compress_Down,4,0.11500000208616257,0.11500000208616257,-0.001724999980069697,-454.9146728515625,84.66462707519531,36.05767313639323,0.00019060311888097203,0.005271701666060835,0.005271701666060835,148.3079233809826,148.30618048563338,148.3136933093192,121,False
Compress_Down,5,0.16500000655651093,0.16500000655651093,-0.002474999986588955,-641.3445434570312,117.74566650390625,50.17538324991862,0.0005437241634353995,0.007165846531279385,0.007165846531279385,147.57141230369567,147.56831231170509,147.57915945847344,121,False
Compress_Down,6,0.2150000035762787,0.2150000035762787,-0.0032250001095235348,-820.0924072265625,148.3505401611328,62.97005081176758,0.000804250652436167,0.008522312215063721,0.008522312215063721,146.83434075561294,146.8296754774201,146.84340951498598,121,False
Compress_Down,7,0.26499998569488525,0.26499998569488525,-0.003975000232458115,-991.4502563476562,176.68727111816406,74.58116722106934,0.0009501737076789141,0.00937156449072063,0.00937156449072063,146.09673012175847,146.09034521708963,146.10650367103517,121,False
Compress_Down,8,0.3149999976158142,0.3149999976158142,-0.004724999889731407,-1152.804931640625,200.37120056152344,88.42932256062825,0.0009460611036047339,0.00976576330140233,0.00976576330140233,145.35838284184348,145.35084748786176,145.36697247240227,121,False
Compress_Down,9,0.36500000953674316,0.36500000953674316,-0.005475000012665987,-1219.28955078125,215.68875122070312,104.01227188110352,0.0002165297046303749,0.00992839876562357,0.00992839876562357,144.61318971022163,144.6061335664126,144.62343871127814,121,False
Compress_Down,10,0.41499999165534973,0.41499999165534973,-0.006225000135600567,-1274.2667236328125,226.32009887695312,117.75883102416992,-0.001944015733897686,0.00999993970617652,0.00999993970617652,143.8671535486584,143.85832978223334,143.87805693331757,121,False
Compress_Down,11,0.4650000035762787,0.4650000035762787,-0.006974999792873859,-1322.109130859375,234.86094665527344,134.7199223836263,-0.008053455501794815,0.00997155625373125,0.00997155625373125,143.12058863459634,143.1097782769939,143.13104546090472,121,False
Compress_Down,12,0.5149999856948853,0.5149999856948853,-0.007724999915808439,-1363.4927978515625,242.14508056640625,151.77908833821616,-0.017458729445934296,0.009855721145868301,0.017458729445934296,142.37355574501137,142.36070683546131,142.3835496971151,121,False
Compress_Down,13,0.5649999976158142,0.5649999976158142,-0.008475000038743019,-1399.054931640625,248.27554321289062,168.4173838297526,-0.031237918883562088,0.009650995023548603,0.031237918883562088,141.6261028941884,141.6111767066468,141.6357742564287,121,False
Compress_Down,14,0.6150000095367432,0.6150000095367432,-0.009224999696016312,-1429.265869140625,253.33692932128906,183.25567626953125,-0.05175979621708393,0.009412678889930248,0.05175979621708393,140.87826275511563,140.8613826315559,140.88768319197698,121,False
Compress_Down,15,0.6650000214576721,0.6650000214576721,-0.009975000284612179,-1454.75244140625,257.8457336425781,193.3217010498047,-0.07988707721233368,0.009169269353151321,0.07988707721233368,140.1300829007701,140.11144886171678,140.13948819047073,121,False
Compress_Down,16,0.7149999737739563,0.7149999737739563,-0.010724999941885471,-1476.0572509765625,262.1364440917969,198.74600219726562,-0.11269867420196533,0.008889853954315186,0.11269867420196533,139.3816022696416,139.361421821377,139.3912535131676,121,False
Compress_Down,17,0.7649999856948853,0.7649999856948853,-0.011474999599158764,-1493.66552734375,266.4836730957031,202.0999298095703,-0.15169761329889297,0.008591377176344395,0.15169761329889297,138.63285469784944,138.61130432633217,138.6430681523052,121,False
Compress_Down,18,0.8149999976158142,0.8149999976158142,-0.012225000187754631,-1508.105224609375,271.4411315917969,204.17428080240884,-0.19750806875526905,0.00830127764493227,0.19750806875526905,137.88388125567883,137.86101481309743,137.8952289596782,121,False
Compress_Down,19,0.8650000095367432,0.8650000095367432,-0.012974999845027924,-1519.865478515625,276.836181640625,205.43258666992188,-0.24716290459036827,0.008111624978482723,0.24716290459036827,137.13471705981766,137.11057903128676,137.14764559699688,121,False
Compress_Down,20,0.9150000214576721,0.9150000214576721,-0.01372500043362379,-1529.34130859375,282.9438171386719,206.37877909342447,-0.3002762496471405,0.007969868369400501,0.3002762496471405,136.3853904082089,136.35996077937307,136.40052558184834,121,False
Compress_Down,21,0.9649999737739563,0.9649999737739563,-0.014475000090897083,-1536.919921875,289.48626708984375,207.08381144205728,-0.3565913010388613,0.007838327437639236,0.3565913010388613,135.63592539620845,135.60929017694434,135.65341894718586,121,False
Compress_Down,22,1.0,1.0,-0.014999999664723873,-1541.350830078125,294.3586730957031,207.50590006510416,-0.3975277151912451,0.007753212004899979,0.3975277151912451,135.1112382897945,135.08372796786716,135.13057024101727,121,False
Hold_135um,0,0.0,1.0,-0.014999999664723873,-1541.350830078125,294.3586730957031,207.50590006510416,-0.3975277151912451,0.007753212004899979,0.3975277151912451,135.1112382897945,135.08372796786716,135.13057024101727,121,False
Hold_135um,1,0.10000000149011612,1.1000000014901161,-0.014999999664723873,-1541.3165283203125,294.27325439453125,207.4870402018229,-0.3975277151912451,0.007753212004899979,0.3975277151912451,135.11123512228752,135.08373630975257,135.1304725612863,121,False
Hold_135um,2,0.20000000298023224,1.2000000029802322,-0.014999999664723873,-1541.3162841796875,294.27325439453125,207.48736572265625,-0.39752774499356747,0.007753212004899979,0.39752774499356747,135.11123510145183,135.08373620425118,135.13047167361947,121,False
Hold_135um,3,0.30000001192092896,1.300000011920929,-0.014999999664723873,-1541.3162841796875,294.27325439453125,207.48736572265625,-0.39752774499356747,0.007753212004899979,0.39752774499356747,135.1112351013917,135.08373620425118,135.13047167361947,121,False
Hold_135um,4,0.4000000059604645,1.4000000059604645,-0.014999999664723873,-1541.3162841796875,294.27325439453125,207.48736572265625,-0.39752774499356747,0.007753212004899979,0.39752774499356747,135.11123510142178,135.08373620425118,135.13047167361947,121,False
Hold_135um,5,0.550000011920929,1.550000011920929,-0.014999999664723873,-1541.3162841796875,294.27325439453125,207.48736063639322,-0.39752774499356747,0.007753212004899979,0.39752774499356747,135.11123510145183,135.08373620425118,135.13047167361947,121,False
Hold_135um,6,0.75,1.75,-0.014999999664723873,-1541.3162841796875,294.27325439453125,207.48736063639322,-0.39752774499356747,0.007753212004899979,0.39752774499356747,135.11123510145183,135.08373620425118,135.13047167361947,121,False
Hold_135um,7,0.949999988079071,1.949999988079071,-0.014999999664723873,-1541.3162841796875,294.27325439453125,207.48736063639322,-0.39752774499356747,0.007753212004899979,0.39752774499356747,135.11123510145183,135.08373620425118,135.13047167361947,121,False
Hold_135um,8,1.0,2.0,-0.014999999664723873,-1541.3162841796875,294.27325439453125,207.48736063639322,-0.39752774499356747,0.007753212004899979,0.39752774499356747,135.11123510145183,135.08373620425118,135.13047167361947,121,False
Unload_Free,0,0.0,2.0,-0.014999999664723873,-1541.3162841796875,294.27325439453125,207.48736063639322,-0.39752774499356747,0.007753212004899979,0.39752774499356747,135.11123510145183,135.08373620425118,135.13047167361947,121,False
Unload_Free,1,0.019999999552965164,2.019999999552965,-0.013700000010430813,-1174.337890625,230.4494171142578,204.8106689453125,-0.4066656995564699,0.007753212004899979,0.4066656995564699,136.3847060751261,136.35550238359428,136.3997838125215,121,False
