step,frame_index,step_time_s,total_time_s,top_u2_mm,top_rf2_N,max_cpress_MPa,max_compressive_PRESS_MPa,pevol_min,pevol_max,pevol_max_abs,avg_thickness_um,min_thickness_um,max_thickness_um,column_count,unloaded_zero_contact
Compress_Down,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,150.00000596046448,150.00000596046448,150.00000596046448,121,False
Compress_Down,1,0.00044500071089714766,0.00044500071089714766,-1.8609620511256253e-08,0.0,0.0060467771254479885,0.002625130034478692,0.0,0.0,0.0,149.9999892759333,149.99997472030026,149.99999637792283,121,False
Compress_Down,2,0.000889004091732204,0.000889004091732204,-2.3454568065517378e-07,-0.046618297696113586,0.02305346354842186,0.008607977826613933,0.0,0.0,0.0,149.99979672816738,149.99979064698366,149.9998068510493,121,False
Compress_Down,3,0.0013340074801817536,0.0013340074801817536,-6.782115633541252e-07,-0.15387694537639618,0.032488297671079636,0.011135949617406974,0.0,0.0,0.0,149.99932745846323,149.99932150962536,149.9993350347779,121,False
Compress_Down,4,0.00177801086101681,0.00177801086101681,-1.47823618590337e-06,-0.38585153222084045,0.07269056886434555,0.024408453473976504,0.0,0.0,0.0,149.9984182413301,149.99841232292965,149.99842488481363,121,False
Compress_Down,5,0.002223014133051038,0.002223014133051038,-3.269888338763849e-06,-0.8363947868347168,0.13681669533252716,0.047418224664094545,0.0,0.0,0.0,149.99691420922494,149.9969078892036,149.9969210017298,121,False
Compress_Down,6,0.002667017513886094,0.002667017513886094,-5.283442078507505e-06,-1.3750768899917603,0.23204798996448517,0.07868659046168129,0.0,0.0,0.0,149.9947241696299,149.99471793930752,149.994729832315,121,False
Compress_Down,7,0.0031120209023356438,0.0031120209023356438,-7.973458195920102e-06,-2.072754383087158,0.36512491106987,0.12409905282159646,0.0,0.0,0.0,149.99168390172485,149.99167671021496,149.9916909069725,121,False
Compress_Down,8,0.0035560242831707,0.0035560242831707,-1.276260991289746e-05,-3.324122428894043,0.5369272232055664,0.1831179168075323,0.0,0.0,0.0,149.98769685590477,149.98769093699593,149.9877047249356,121,False
Compress_Down,9,0.004000005777925253,0.004000005777925253,-1.7371594367432408e-05,-4.516844749450684,0.7589272260665894,0.25724660512059927,0.0,0.0,0.0,149.9826311384206,149.98262491826608,149.98263814504753,121,False
Compress_Down,10,0.004444905556738377,0.004444905556738377,-2.2957099645282142e-05,-5.96515417098999,1.0302916765213013,0.34984611844023067,0.0,0.0,0.0,149.97637295859442,149.97636576754303,149.97637996293633,121,False
Compress_Down,11,0.0048898053355515,0.0048898053355515,-3.201265280949883e-05,-8.317744255065918,1.361797571182251,0.4615488589430849,0.0,0.0,0.0,149.96881862381906,149.96881139268226,149.96882507603004,121,False
Compress_Down,12,0.005333705339580774,0.005333705339580774,-4.0129256376530975e-05,-10.444350242614746,1.7533668279647827,0.5928985392674804,0.0,0.0,0.0,149.95987780347912,149.95987157271884,149.95988418741035,121,False
Compress_Down,13,0.005778605118393898,0.005778605118393898,-4.945830733049661e-05,-12.857694625854492,2.2081477642059326,0.7468150171140829,0.0,0.0,0.0,149.94942463890163,149.94941753138846,149.94943103738478,121,False
Compress_Down,14,0.006222505122423172,0.006222505122423172,-6.392132490873337e-05,-16.62285804748535,2.7368927001953125,0.9254755756507317,0.0,0.0,0.0,149.93739927782627,149.9373913720774,149.93740580030135,121,False
Compress_Down,15,0.006667404901236296,0.006667404901236296,-7.634467328898609e-05,-19.8507080078125,3.3325960636138916,1.128370960553487,0.0,0.0,0.0,149.92365923703915,149.92365319631062,149.9236669842503,121,False
Compress_Down,16,0.00711130490526557,0.00711130490526557,-9.01989551493898e-05,-23.446258544921875,4.012352466583252,1.35684214408199,0.0,0.0,0.0,149.90819213959514,149.90818613296142,149.9081983565702,121,False
Compress_Down,17,0.007556204684078693,0.007556204684078693,-0.00011098543473053724,-28.884145736694336,4.766563415527344,1.6138430933157604,0.0,0.0,0.0,149.89083234837938,149.89082622923888,149.89083850377938,121,False
Compress_Down,18,0.008000017143785954,0.008000017143785954,-0.00012840289855375886,-33.41064453125,5.607242107391357,1.8963022877772648,0.0,0.0,0.0,149.8716023389451,149.87159633164993,149.87160856253468,121,False
Compress_Down,19,0.008444709703326225,0.008444709703326225,-0.00014748694957233965,-38.3785285949707,6.5406494140625,2.211852792650461,0.0,0.0,0.0,149.8503244621126,149.8503173570498,149.8503308466752,121,False
Compress_Down,20,0.008889402262866497,0.008889402262866497,-0.00017545465379953384,-45.63988494873047,7.557210445404053,2.5570314998428025,0.0,0.0,0.0,149.826973234171,149.82696741935797,149.82698024687124,121,False
Compress_Down,21,0.009334094822406769,0.009334094822406769,-0.00019851428805850446,-51.66639709472656,8.671439170837402,2.9328899954756102,0.0,0.0,0.0,149.80149292585503,149.80148660833947,149.801499734167,121,False
Compress_Down,22,0.009777788072824478,0.009777788072824478,-0.00022329195053316653,-58.100337982177734,9.88100528717041,3.341454309721788,0.0,0.0,0.0,149.7738810125878,149.7738737234613,149.7738878824748,121,False
Compress_Down,23,0.01022248063236475,0.01022248063236475,-0.00025920491316355765,-67.4659423828125,11.186351776123047,3.7847517083088555,0.0,0.0,0.0,149.74395172479987,149.74394557066262,149.74395859462675,121,False
Compress_Down,24,0.010667173191905022,0.010667173191905022,-0.0002882789121940732,-75.0597915649414,12.596965789794922,4.2619028488794966,0.0,0.0,0.0,149.71172088258785,149.71171459183097,149.71172760124318,121,False
Compress_Down,25,0.011111865751445293,0.011111865751445293,-0.0003192534204572439,-83.09595489501953,14.1080961227417,4.7713237007459,0.0,0.0,0.0,149.6771504349183,149.67714296653867,149.67715699458495,121,False
Compress_Down,26,0.011556480079889297,0.011556480079889297,-0.00036362235550768673,-95.02588653564453,15.980268478393555,5.439068680008252,6.538669595101965e-06,9.519580999040045e-05,9.519580999040045e-05,149.64017363444108,149.64016716112383,149.64017996680923,121,False
Compress_Down,27,0.012000758200883865,0.012000758200883865,-0.000399245967855677,-105.42817687988281,18.384281158447266,6.382386277119319,8.834592517814599e-05,0.00028972285508643836,0.00028972285508643836,149.60075920103273,149.60075309500098,149.6007661044132,121,False
Compress_Down,28,0.012445036321878433,0.012445036321878433,-0.00043678004294633865,-116.4822998046875,20.938486099243164,7.386102974414825,0.00018702109809964895,0.0005015351052861661,0.0005015351052861661,149.55887979537263,149.55886200186796,149.55888607073575,121,False
Compress_Down,29,0.012889314442873001,0.012889314442873001,-0.0004901447682641447,-132.14349365234375,23.649856567382812,8.456628481547037,0.00028960624331375584,0.0007208473107311875,0.0007208473107311875,149.51448830725886,149.51448245847132,149.5144959189929,121,False
Compress_Down,30,0.013333592563867569,0.013333592563867569,-0.0005324365338310599,-144.59808349609375,26.711206436157227,9.661477049191793,0.0003941574541386217,0.00096580691752024,0.00096580691752024,149.4675644970218,149.46755845448934,149.46758496807888,121,False
Compress_Down,31,0.013777870684862137,0.013777870684862137,-0.0005769104463979602,-157.65684509277344,29.688556671142578,10.834276159604391,0.0004954483301844448,0.0012206966057419777,0.0012206966057419777,149.4180930113085,149.4180781301111,149.41810973687097,121,False
Compress_Down,32,0.014222776517271996,0.014222776517271996,-0.0006393893272615969,-175.92234802246094,32.47541046142578,11.9290163119634,0.0006073482509236783,0.0014792538713663816,0.0014792538713663816,149.36590865220728,149.36589714488946,149.36592924641445,121,False
Compress_Down,33,0.014667637646198273,0.014667637646198273,-0.000688767759129405,-190.46224975585938,36.057884216308594,13.34820000330607,0.000722246419172734,0.0017620076541788876,0.0017620076541788876,149.31110993979215,149.31109809549525,149.31113022612408,121,False
