step,frame_index,step_time,total_time,top_u2_mm,top_rf2_N,max_cpress_MPa,max_compressive_PRESS_MPa,pevol_min,pevol_max,pevol_max_abs,avg_thickness_um,min_thickness_um,max_thickness_um,column_count,unloaded_zero_contact
Compress_Down,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,150.00000596046448,150.00000596046448,150.00000596046448,121,False
Compress_Down,1,0.019999999552965164,0.019999999552965164,-0.0003000000142492354,-76.65269470214844,12.797472953796387,4.489144543806712,0.0,0.0,0.0,149.7055235502779,149.70277083921246,149.7064244088051,121,False
Compress_Down,2,0.03999999910593033,0.03999999910593033,-0.0006000000284984708,-158.54507446289062,27.9532527923584,11.649586002031961,0.0,0.0011812093725893646,0.0011812093725893646,149.41142737127902,149.4059715187177,149.41342418342174,121,False
Compress_Down,3,0.07000000029802322,0.07000000029802322,-0.0010499999625608325,-279.879638671875,50.300682067871094,22.373033841451008,0.0,0.0030353885958902538,0.0030353885958902538,148.97017637466445,148.96093343850225,148.97360947634297,121,False
Compress_Down,4,0.11500000208616257,0.11500000208616257,-0.001724999980069697,-454.9187316894531,81.50971984863281,36.7321138381958,8.54411514410458e-05,0.005271701666060835,0.005271701666060835,148.30779720527934,148.293107165955,148.31288246750773,121,False
Compress_Down,5,0.16500000655651093,0.16500000655651093,-0.002474999986588955,-641.3529663085938,113.59208679199219,51.02101453145345,0.00041195270023308694,0.007165846531279385,0.007165846531279385,147.57123741753074,147.55057683214545,147.57763727175188,121,False
Compress_Down,6,0.2150000035762787,0.2150000035762787,-0.0032250001095235348,-820.1054077148438,143.29180908203125,63.921305338541664,0.000655636569717899,0.008522312215063721,0.008522312215063721,146.8341213554099,146.8075020238757,146.84141269754036,121,False
Compress_Down,7,0.26499998569488525,0.26499998569488525,-0.003975000232458115,-991.4679565429688,170.771484375,75.58420626322429,0.0007920147618278861,0.00937156449072063,0.00937156449072063,146.09646998489688,146.06388192623854,146.104301984451,121,False
Compress_Down,8,0.3149999976158142,0.3149999976158142,-0.004724999889731407,-1152.813720703125,195.10658264160156,89.89339065551758,0.000779232825152576,0.00976576330140233,0.00976576330140233,145.35809264036425,145.31943062320352,145.3664473046956,121,False
Compress_Down,9,0.36500000953674316,0.36500000953674316,-0.005475000012665987,-1219.293212890625,206.68153381347656,105.1544583638509,6.58608041703701e-06,0.00992839876562357,0.00992839876562357,144.61287513858383,144.57187103107572,144.62306983114104,121,False
Compress_Down,10,0.41499999165534973,0.41499999165534973,-0.006225000135600567,-1274.27001953125,212.87767028808594,118.42597834269206,-0.0020980900153517723,0.00999993970617652,0.00999993970617652,143.8668193170223,143.82323063910007,143.87636425817618,121,False
