step,history_region,time_s,rf2_N,rolling_force_N,u2_mm,rm3_Nmm,ur3_rad,vr3_rad_per_s
Bite_Clamp,Node ASSEMBLY.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bite_Clamp,Node ASSEMBLY.1,0.0005000000237487257,-27.986663818359375,27.986663818359375,-1.1964029766886597e-09,149.211181640625,2.660274561402942e-12,3.730698239223784e-08
Bite_Clamp,Node ASSEMBLY.1,0.0009798076935112476,-49.26091766357422,49.26091766357422,-8.977122156750283e-09,553.1845092773438,3.913884494277653e-11,1.9302549958410964e-07
Bite_Clamp,Node ASSEMBLY.1,0.0014596153050661087,-80.78169250488281,80.78169250488281,-2.9592063910399702e-08,1258.6298828125,1.923071146769928e-10,5.778701392955554e-07
Bite_Clamp,Node ASSEMBLY.1,0.0019394229166209698,-118.89443969726562,118.89443969726562,-6.921837325535307e-08,2330.658203125,5.980369532920804e-10,1.3004803349758731e-06
Bite_Clamp,Node ASSEMBLY.1,0.002419230528175831,-165.67108154296875,165.67108154296875,-1.3396076781191368e-07,3856.717529296875,1.44458145445725e-09,2.4693849809409585e-06
Bite_Clamp,Node ASSEMBLY.1,0.002899038139730692,-222.23809814453125,222.23809814453125,-2.2985184955359728e-07,5935.87451171875,2.9719593452881554e-09,4.191832886135671e-06
Bite_Clamp,Node ASSEMBLY.1,0.003378845751285553,-289.3086853027344,289.3086853027344,-3.6285237570155005e-07,8677.0625,5.471339381557527e-09,6.5737908698793035e-06
Bite_Clamp,Node ASSEMBLY.1,0.003858653362840414,-367.22015380859375,367.22015380859375,-5.38851509190863e-07,12194.935546875,9.284431001788107e-09,9.719959962239955e-06
Bite_Clamp,Node ASSEMBLY.1,0.004338460974395275,-455.9853210449219,455.9853210449219,-7.636671739419398e-07,16606.0859375,1.4802871817209962e-08,1.3733768355450593e-05
Bite_Clamp,Node ASSEMBLY.1,0.004818268585950136,-555.3706665039062,555.3706665039062,-1.0430462680233177e-06,22026.0703125,2.24676242055466e-08,1.8717382772592828e-05
Bite_Clamp,Node ASSEMBLY.1,0.005298076197504997,-664.9926147460938,664.9926147460938,-1.3826648910253425e-06,28567.2734375,3.276836935128813e-08,2.4771716198301874e-05
Bite_Clamp,Node ASSEMBLY.1,0.005777883809059858,-784.4182739257812,784.4182739257812,-1.7881288840726484e-06,36337.86328125,4.6242902840276656e-08,3.199643106199801e-05
Bite_Clamp,Node ASSEMBLY.1,0.006257691420614719,-913.2395629882812,913.2395629882812,-2.2649737729807384e-06,45441.68359375,6.347653425109456e-08,4.048992195748724e-05
Bite_Clamp,Node ASSEMBLY.1,0.0067374990321695805,-1051.1195068359375,1051.1195068359375,-2.818665279846755e-06,55978.91796875,8.510150451002119e-08,5.0349368393654004e-05
Bite_Clamp,Node ASSEMBLY.1,0.0072173066437244415,-1197.807861328125,1197.807861328125,-3.4545994367363164e-06,68046.9453125,1.1179638192970742e-07,6.167073297547176e-05
Bite_Clamp,Node ASSEMBLY.1,0.007697114255279303,-1353.1414794921875,1353.1414794921875,-4.178103154117707e-06,81741.0234375,1.4428545114242297e-07,7.454866863554344e-05
Bite_Clamp,Node ASSEMBLY.1,0.008176921866834164,-1517.0323486328125,1517.0323486328125,-4.9944337661145255e-06,97155.734375,1.833381162441583e-07,8.907660958357155e-05
Bite_Clamp,Node ASSEMBLY.1,0.008656729944050312,-1689.4417724609375,1689.4417724609375,-5.908780622121412e-06,114385.859375,2.2976846025812847e-07,0.00010534704779274762
Bite_Clamp,Node ASSEMBLY.1,0.00913653802126646,-1870.35009765625,1870.35009765625,-6.926264177309349e-06,133524.625,2.844343782726355e-07,0.00012345073628239334
Bite_Clamp,Node ASSEMBLY.1,0.009616346098482609,-2059.71875,2059.71875,-8.051936674746685e-06,154666.953125,3.4823722216970054e-07,0.0001434775476809591
Bite_Clamp,Node ASSEMBLY.1,0.010096154175698757,-2257.480712890625,2257.480712890625,-9.290783054893836e-06,177906.6875,4.2212121798002045e-07,0.0001655162632232532
Bite_Clamp,Node ASSEMBLY.1,0.010575962252914906,-2463.515625,2463.515625,-1.0647720046108589e-05,203335.953125,5.070726274425397e-07,0.00018965393246617168
Bite_Clamp,Node ASSEMBLY.1,0.011055770330131054,-2677.670654296875,2677.670654296875,-1.2127596164646093e-05,231048.3125,6.041196343176125e-07,0.00021597738668788224
Bite_Clamp,Node ASSEMBLY.1,0.011535578407347202,-2899.755615234375,2899.755615234375,-1.3735194443142973e-05,261130.546875,7.143311222534976e-07,0.0002445707214064896
Bite_Clamp,Node ASSEMBLY.1,0.01201538648456335,-3129.57568359375,3129.57568359375,-1.547523061162792e-05,293675.0625,8.388168453166145e-07,0.0002755186287686229
Bite_Clamp,Node ASSEMBLY.1,0.012495194561779499,-3366.93310546875,3366.93310546875,-1.73523530975217e-05,328766.0,9.78726461653423e-07,0.0003089036326855421
Bite_Clamp,Node ASSEMBLY.1,0.012975002638995647,-3611.646728515625,3611.646728515625,-1.9371145754121244e-05,366487.875,1.1352487945259782e-06,0.00034480690374039114
Bite_Clamp,Node ASSEMBLY.1,0.013454810716211796,-3863.56640625,3863.56640625,-2.1536125132115558e-05,406923.875,1.3096115480948356e-06,0.0003833086520899087
Bite_Clamp,Node ASSEMBLY.1,0.013934618793427944,-4122.5693359375,4122.5693359375,-2.3851742298575118e-05,450156.0625,1.5030806252980256e-06,0.0004244880110491067
Bite_Clamp,Node ASSEMBLY.1,0.014414426870644093,-4388.5576171875,4388.5576171875,-2.6322382836951874e-05,496266.78125,1.7169601278510527e-06,0.00046842408482916653
Bite_Clamp,Node ASSEMBLY.1,0.014894234947860241,-4661.44677734375,4661.44677734375,-2.895236866606865e-05,545327.875,1.9525900825101417e-06,0.000515191291924566
Bite_Clamp,Node ASSEMBLY.1,0.01537404302507639,-4941.14794921875,4941.14794921875,-3.1745956221129745e-05,597429.1875,2.2113488284958294e-06,0.000564868445508182
Bite_Clamp,Node ASSEMBLY.1,0.015853850170969963,-5227.5615234375,5227.5615234375,-3.470733281574212e-05,652633.6875,2.494648924766807e-06,0.0006175266462378204
Bite_Clamp,Node ASSEMBLY.1,0.01633365824818611,-5520.5595703125,5520.5595703125,-3.784062937484123e-05,711029.1875,2.8039396511303494e-06,0.0006732415058650076
Bite_Clamp,Node ASSEMBLY.1,0.01681346632540226,-5819.99365234375,5819.99365234375,-4.114990952075459e-05,772686.375,3.1407053029397503e-06,0.0007320861332118511
Bite_Clamp,Node ASSEMBLY.1,0.017293274402618408,-6125.66455078125,6125.66455078125,-4.46391713921912e-05,837673.0,3.506464054225944e-06,0.0007941302610561252
Bite_Clamp,Node ASSEMBLY.1,0.017773082479834557,-6437.35546875,6437.35546875,-4.831234764424153e-05,906057.375,3.90276727557648e-06,0.0008594422251917422
Bite_Clamp,Node ASSEMBLY.1,0.018252890557050705,-6754.82958984375,6754.82958984375,-5.2173316362313926e-05,977915.4375,4.331200671003899e-06,0.0009280928643420339
Bite_Clamp,Node ASSEMBLY.1,0.018732698634266853,-7077.82958984375,7077.82958984375,-5.6225886510219425e-05,1053306.625,4.793382231582655e-06,0.001000149524770677
Bite_Clamp,Node ASSEMBLY.1,0.019212506711483,-7406.1083984375,7406.1083984375,-6.047380520612933e-05,1132297.0,5.290962690196466e-06,0.0010756799019873142
Bite_Clamp,Node ASSEMBLY.1,0.01969231478869915,-7739.439453125,7739.439453125,-6.492075772257522e-05,1214943.875,5.82562370254891e-06,0.00115474802441895
Bite_Clamp,Node ASSEMBLY.1,0.0201721228659153,-8077.59765625,8077.59765625,-6.957036384847015e-05,1301306.875,6.399078301910777e-06,0.001237417571246624
Bite_Clamp,Node ASSEMBLY.1,0.020651930943131447,-8420.4287109375,8420.4287109375,-7.442619244102389e-05,1391456.25,7.013071808614768e-06,0.0013237559469416738
Bite_Clamp,Node ASSEMBLY.1,0.021131739020347595,-8767.7685546875,8767.7685546875,-7.949173595989123e-05,1485428.75,7.66937682783464e-06,0.0014138201950117946
Bite_Clamp,Node ASSEMBLY.1,0.021611547097563744,-9119.4931640625,9119.4931640625,-8.477043593302369e-05,1583293.625,8.369796887564007e-06,0.0015076725976541638
Bite_Clamp,Node ASSEMBLY.1,0.022091355174779892,-9475.4755859375,9475.4755859375,-9.026567568071187e-05,1685110.375,9.116164619626943e-06,0.001605375437065959
Bite_Clamp,Node ASSEMBLY.1,0.02257116325199604,-9835.634765625,9835.634765625,-9.59807657636702e-05,1790933.375,9.91034357866738e-06,0.00170699052978307
Bite_Clamp,Node ASSEMBLY.1,0.02305097132921219,-10199.8349609375,10199.8349609375,-0.00010191896581090987,1900791.125,1.0754220056696795e-05,0.0018125652568414807
Bite_Clamp,Node ASSEMBLY.1,0.023530779406428337,-10567.986328125,10567.986328125,-0.00010808347724378109,2014776.25,1.1649711268546525e-05,0.0019221659749746323
