nodeLabel,x_mm,y_mm,z_mm,CPRESS_MPa
174,35.0,0.15,1.0,0.0
175,32.5,0.15,1.0,0.0
176,30.0,0.15,1.0,0.0
177,27.5,0.15,1.0,0.0
178,25.0,0.15,1.0,0.0
179,22.5,0.15,1.0,0.0
180,20.0,0.15,1.0,0.0
181,17.5,0.15,1.0,0.0
182,15.0,0.15,1.0,0.0
183,12.5,0.15,1.0,0.0
184,10.0,0.15,1.0,0.0
185,7.5,0.15,1.0,0.0
186,5.0,0.15,1.0,0.0
187,2.5,0.15,1.0,0.0
188,2.5,0.15,5.0,0.0
189,5.0,0.15,5.0,0.0
190,7.5,0.15,5.0,0.0
191,10.0,0.15,5.0,0.0
192,12.5,0.15,5.0,0.0
193,15.0,0.15,5.0,0.0
194,17.5,0.15,5.0,0.0
195,20.0,0.15,5.0,0.0
196,22.5,0.15,5.0,0.0
197,25.0,0.15,5.0,0.0
198,27.5,0.15,5.0,0.0
199,30.0,0.15,5.0,0.0
200,32.5,0.15,5.0,0.0
201,35.0,0.15,5.0,0.0
202,37.5,0.15,5.0,0.0
203,40.0,0.15,5.0,0.0
204,42.5,0.15,5.0,0.0
205,45.0,0.15,5.0,0.0
206,47.5,0.15,5.0,0.0
207,2.5,0.0,1.0,0.0
208,5.0,0.0,1.0,0.0
209,7.5,0.0,1.0,0.0
210,10.0,0.0,1.0,0.0
211,12.5,0.0,1.0,0.0
212,15.0,0.0,1.0,0.0
213,17.5,0.0,1.0,0.0
214,20.0,0.0,1.0,0.0
215,22.5,0.0,1.0,0.0
216,25.0,0.0,1.0,0.0
217,27.5,0.0,1.0,0.0
218,30.0,0.0,1.0,0.0
219,32.5,0.0,1.0,0.0
220,35.0,0.0,1.0,0.0
221,37.5,0.0,1.0,0.0
222,40.0,0.0,1.0,0.0
223,42.5,0.0,1.0,0.0
224,45.0,0.0,1.0,0.0
225,47.5,0.0,1.0,0.0
226,47.5,0.0,5.0,0.0
227,45.0,0.0,5.0,0.0
228,42.5,0.0,5.0,0.0
229,40.0,0.0,5.0,0.0
230,37.5,0.0,5.0,0.0
231,35.0,0.0,5.0,0.0
232,32.5,0.0,5.0,0.0
233,30.0,0.0,5.0,0.0
234,27.5,0.0,5.0,0.0
235,25.0,0.0,5.0,0.0
236,22.5,0.0,5.0,0.0
237,20.0,0.0,5.0,0.0
238,17.5,0.0,5.0,0.0
239,15.0,0.0,5.0,0.0
240,12.5,0.0,5.0,0.0
241,10.0,0.0,5.0,0.0
242,7.5,0.0,5.0,0.0
243,5.0,0.0,5.0,0.0
244,2.5,0.0,5.0,0.0
245,50.0,0.0,11.0,0.0
246,50.0,0.0,9.5,0.0
247,50.0,0.0,8.0,0.0
248,50.0,0.0,6.5,0.0
249,50.0,0.15,6.5,0.0
250,50.0,0.15,8.0,0.0
251,50.0,0.15,9.5,0.0
252,50.0,0.15,11.0,0.0
253,0.0,0.0,6.5,0.0
