elementLabel,x_mm,y_mm,z_mm,S_Mises_MPa,S22_MPa,S11_MPa
1,48.75,0.0149999996647239,13.75,0.00162634160369635,0.0005669560632668436,-0.0011627533240243793
2,48.75,0.0449999989941716,13.75,0.00118783093057573,0.00037018649163655937,-0.0005327229737304151
3,48.75,0.0750000011175871,13.75,0.0008990005007945,0.00039889244362711906,-0.0003579649783205241
4,48.75,0.105000000447035,13.75,0.000709379324689507,0.0005735542508773506,0.0009229467250406742
5,48.75,0.135000001639128,13.75,0.000876397883985192,0.0004814857093151659,0.001233768300153315
6,48.75,0.0149999996647239,16.25,0.00194788444787264,-0.00027804457931779325,-0.0023805261589586735
7,48.75,0.0449999989941716,16.25,0.00137493363581598,-0.0001065002943505533,-0.001417944091372192
8,48.75,0.0750000011175871,16.25,0.000995750189758837,-0.00016461542691104114,-0.0006305575952865183
9,48.75,0.105000000447035,16.25,0.000829323136713356,-0.0002221752074547112,-0.00023742781195323914
10,48.75,0.135000001639128,16.25,0.0013656864175573,-0.00020093699276912957,0.000723634148016572
11,48.75,0.0149999996647239,18.75,0.00201798300258815,0.0001994113263208419,-0.001757597434334457
12,48.75,0.0449999989941716,18.75,0.00102333736140281,9.388315083924681e-05,-0.0005827740533277392
13,48.75,0.0750000011175871,18.75,0.00078398350160569,0.00013310307986102998,4.283941234461963e-05
14,48.75,0.105000000447035,18.75,0.000733964261598885,0.00010236150410491973,0.0005961047718301415
15,48.75,0.135000001639128,18.75,0.00142019079066813,0.00010359119187342003,0.0013874713331460953
16,48.75,0.0149999996647239,21.25,0.00170071877073497,-9.483816393185407e-05,-0.0018376867519691586
17,48.75,0.0449999989941716,21.25,0.00103915017098188,-1.523154423921369e-05,-0.0004772975225932896
18,48.75,0.0750000011175871,21.25,0.0011639348231256,-3.0080147553235292e-05,0.0005100049893371761
19,48.75,0.105000000447035,21.25,0.00102661328855902,-1.2497452189563774e-05,0.0007513814489357173
20,48.75,0.135000001639128,21.25,0.00173963815905154,-3.979776010964997e-05,0.0016435302095487714
21,48.75,0.0149999996647239,23.75,0.00168765126727521,4.079967402503826e-05,-0.0012015013489872217
22,48.75,0.0449999989941716,23.75,0.000502089271321893,2.320520070497878e-05,8.040166903811041e-06
23,48.75,0.0750000011175871,23.75,0.000476188666652888,3.358570393174887e-05,0.00033296490437351167
24,48.75,0.105000000447035,23.75,0.000652212474960834,2.7413063435233198e-05,0.0007086864789016545
25,48.75,0.135000001639128,23.75,0.00192551757209003,2.7585627321968786e-05,0.001966208452358842
26,46.25,0.0149999996647239,13.75,0.00111221871338785,0.0003915010893251747,-0.0007660892442800105
27,46.25,0.0449999989941716,13.75,0.00103627459611744,5.500616680365056e-05,-0.0003774835786316544
28,46.25,0.0750000011175871,13.75,0.000986780854873359,-7.544590334873646e-05,-0.00034883967600762844
29,46.25,0.105000000447035,13.75,0.00109186547342688,-3.25004912156146e-05,0.00020496186334639788
30,46.25,0.135000001639128,13.75,0.000876317091751844,0.0004155866045039147,0.00011128607002319768
31,46.25,0.0149999996647239,16.25,0.00137660652399063,-0.0002606076013762504,-0.0017258684383705258
32,46.25,0.0449999989941716,16.25,0.00118380866479129,-0.0001261547877220437,-0.0010621118126437068
33,46.25,0.0750000011175871,16.25,0.00118127267342061,2.599260005808901e-05,-0.000705550832208246
34,46.25,0.105000000447035,16.25,0.00137266714591533,2.583495734143071e-05,-0.00010930325515801087
35,46.25,0.135000001639128,16.25,0.00140400347299874,-0.0002765974204521626,-0.0001345190976280719
36,46.25,0.0149999996647239,18.75,0.00166355783585459,0.00012717809295281768,-0.0009768055751919746
37,46.25,0.0449999989941716,18.75,0.000904562708456069,2.4236958779511042e-05,-0.00047686503967270255
38,46.25,0.0750000011175871,18.75,0.000807650270871818,-0.0001090884325094521,6.177510658744723e-05
39,46.25,0.105000000447035,18.75,0.00100143835879862,-5.2175131713738665e-05,0.0005234714481048286
40,46.25,0.135000001639128,18.75,0.000880013103596866,0.00018157955491915345,0.00020837703777942806
41,46.25,0.0149999996647239,21.25,0.00123320613056421,-0.00010478976764716208,-0.0008966081077232957
42,46.25,0.0449999989941716,21.25,0.00123952596914023,-0.00010673797078197822,-0.00045438858796842396
43,46.25,0.0750000011175871,21.25,0.00102642131969333,-1.229048939421773e-05,-0.00019116171461064368
44,46.25,0.105000000447035,21.25,0.00112884084228426,-1.4327140888781287e-05,0.00019513635197654366
45,46.25,0.135000001639128,21.25,0.0011011156020686,-0.0001368344237562269,0.00030177002190612257
46,46.25,0.0149999996647239,23.75,0.00111863994970918,1.0892234058701433e-05,-0.0006309319869615138
47,46.25,0.0449999989941716,23.75,0.000989705440588295,-1.283303845411865e-05,-0.000464610755443573
48,46.25,0.0750000011175871,23.75,0.000870231713633984,-5.4439111409010366e-05,-0.0001608046586625278
49,46.25,0.105000000447035,23.75,0.000826435047201812,-4.259735578671098e-05,6.121068872744218e-05
50,46.25,0.135000001639128,23.75,0.000823805225081742,2.824253351718653e-05,0.00025827594799920917
51,43.75,0.0149999996647239,13.75,0.001424546004273,0.0005179049330763519,0.0015247504925355315
52,43.75,0.0449999989941716,13.75,0.000641345628537238,0.0005000674282200634,0.0009557974408380687
53,43.75,0.0750000011175871,13.75,0.00112087675370276,0.00021271193691063672,-0.00029904383700340986
54,43.75,0.105000000447035,13.75,0.00136637315154076,0.0002354551834287122,-0.0001777290744939819
55,43.75,0.135000001639128,13.75,0.00189123617019504,0.0005268807872198522,-0.0012016156688332558
56,43.75,0.0149999996647239,16.25,0.00159129244275391,-0.00020652561215683818,0.0006494609988294542
57,43.75,0.0449999989941716,16.25,0.000458301743492484,-6.552257400471717e-05,0.00017315935110673308
58,43.75,0.0750000011175871,16.25,0.000898427329957485,0.00014684107736684382,-0.0002838856598827988
59,43.75,0.105000000447035,16.25,0.0014045633142814,3.585233571357094e-05,-0.0008617403218522668
60,43.75,0.135000001639128,16.25,0.00183950166683644,-0.0003094770945608616,-0.0016393823316320777
61,43.75,0.0149999996647239,18.75,0.00265104882419109,0.00015284778783097863,0.0015415387460961938
62,43.75,0.0449999989941716,18.75,0.00128334038890898,0.00012343857088126242,0.000663822575006634
63,43.75,0.0750000011175871,18.75,0.000611809024121612,-5.9196925576543435e-05,5.1399510994087905e-06
64,43.75,0.105000000447035,18.75,0.00050425116205588,-5.780809442512691e-05,-0.0004628156893886626
65,43.75,0.135000001639128,18.75,0.00164131540805101,0.00023838947527110577,-0.0015812156489118934
66,43.75,0.0149999996647239,21.25,0.00233575794845819,-1.819744284148328e-05,0.0014129267074167728
67,43.75,0.0449999989941716,21.25,0.00161853421013802,5.5551787227159366e-05,0.0007375530549325049
68,43.75,0.0750000011175871,21.25,0.00090371782425791,0.00015202679787762463,-4.0768965845927596e-05
69,43.75,0.105000000447035,21.25,0.000983578036539257,0.00011855632328661159,-0.0006909968215040863
70,43.75,0.135000001639128,21.25,0.00163668976165354,-0.0001276497496291995,-0.0016119747888296843
71,43.75,0.0149999996647239,23.75,0.00158212578389794,2.9530207029893063e-05,0.0014089122414588928
72,43.75,0.0449999989941716,23.75,0.00106121168937534,3.36120901920367e-05,0.0007378641748800874
73,43.75,0.0750000011175871,23.75,0.000814028200693429,2.105371095240116e-06,-5.830329428135883e-07
74,43.75,0.105000000447035,23.75,0.00135808973573148,-8.957634236139711e-06,-0.000763766176532954
75,43.75,0.135000001639128,23.75,0.00198530755005777,5.607602361124009e-05,-0.0015082188183441758
76,41.25,0.0149999996647239,13.75,0.0011999182170257,0.0005353803862817585,0.0013600635575130582
77,41.25,0.0449999989941716,13.75,0.00100340298376977,0.0001048207122948952,0.0007724901079200208
78,41.25,0.0750000011175871,13.75,0.00129090994596481,0.00014644357725046575,-0.000236442792811431
79,41.25,0.105000000447035,13.75,0.00181082775816321,0.00022041438205633312,-0.0005680148024111986
80,41.25,0.135000001639128,13.75,0.00216759531758726,0.0005425554700195789,-0.0013605643762275577
81,41.25,0.0149999996647239,16.25,0.0015925265615806,-0.00031649437732994556,0.00044461333891376853
82,41.25,0.0449999989941716,16.25,0.00125322141684592,-0.00017135386588051915,6.639058847213164e-05
83,41.25,0.0750000011175871,16.25,0.00189919618424028,-0.00014181260485202074,-0.0007497598417103291
84,41.25,0.105000000447035,16.25,0.00200444273650646,-8.297868043882772e-05,-0.0010692354990169406
85,41.25,0.135000001639128,16.25,0.00208306079730392,-0.00031508036772720516,-0.0015276026679202914
86,41.25,0.0149999996647239,18.75,0.00261179637163877,0.00011593328963499516,0.0012965757632628083
87,41.25,0.0449999989941716,18.75,0.00160102907102555,-4.801526665687561e-05,0.0003004937316291034
88,41.25,0.0750000011175871,18.75,0.00129110156558454,-1.826933294069022e-05,-0.0003309599414933473
89,41.25,0.105000000447035,18.75,0.00151617883238941,6.014362588757649e-05,-0.00041495676850900054
90,41.25,0.135000001639128,18.75,0.00223662843927741,0.0002243869676021859,-0.001357976463623345
91,41.25,0.0149999996647239,21.25,0.00260088359937072,-7.198681123554707e-05,0.0008904195274226367
92,41.25,0.0449999989941716,21.25,0.00184076325967908,-6.875574035802856e-05,0.00033774771145544946
93,41.25,0.0750000011175871,21.25,0.00164378806948662,-7.966227713041008e-05,-0.000264706410234794
94,41.25,0.105000000447035,21.25,0.00196623872034252,-9.982852498069406e-05,-0.0007895166636444628
95,41.25,0.135000001639128,21.25,0.00232174340635538,-0.0001372605620417744,-0.001287531922571361
96,41.25,0.0149999996647239,23.75,0.00218345038592815,1.5360106772277504e-05,0.0008796514011919498
97,41.25,0.0449999989941716,23.75,0.00201777298934758,2.0351792045403272e-05,0.0005384119576774538
98,41.25,0.0750000011175871,23.75,0.00184884935151786,3.4985310776392e-05,5.829928704770282e-05
99,41.25,0.105000000447035,23.75,0.00205179117619991,6.076093632145785e-05,-0.0004070293507538736
100,41.25,0.135000001639128,23.75,0.00246085319668055,5.5929660447873175e-05,-0.001036575878970325
101,38.75,0.0149999996647239,13.75,0.00182021094951779,0.0009156630258075893,-0.0009286271524615586
102,38.75,0.0449999989941716,13.75,0.00159366591833532,0.00020540169498417526,-0.0005306066595949233
103,38.75,0.0750000011175871,13.75,0.00129892816767097,0.00029042831738479435,-0.00023742485791444778
104,38.75,0.105000000447035,13.75,0.00153108581434935,0.0001457114121876657,0.0008567377808503807
105,38.75,0.135000001639128,13.75,0.00137421325780451,0.00021039732382632792,0.0010797304566949606
106,38.75,0.0149999996647239,16.25,0.00159264844842255,-0.0005169194773770869,-0.0022326975595206022
107,38.75,0.0449999989941716,16.25,0.0014666129136458,7.712315709795803e-05,-0.0010987999849021435
108,38.75,0.0750000011175871,16.25,0.0011430133599788,-5.7262626796728e-05,-0.0006740553071722388
109,38.75,0.105000000447035,16.25,0.00100608833599836,-7.703692244831473e-05,-7.100100629031658e-05
110,38.75,0.135000001639128,16.25,0.00144615641329437,-0.00011577811528695747,0.001068723271600902
111,38.75,0.0149999996647239,18.75,0.00203884998336434,0.00034186942502856255,-0.0017351435963064432
112,38.75,0.0449999989941716,18.75,0.0011306373635307,0.00013479329936672002,-0.0007589561282657087
113,38.75,0.0750000011175871,18.75,0.000802540511358529,0.00010970159200951457,-0.00017042786930687726
114,38.75,0.105000000447035,18.75,0.000957315496634692,2.966896499856375e-05,0.0005328115075826645
115,38.75,0.135000001639128,18.75,0.00150663091335446,6.459386349888518e-05,0.001492387498728931
116,38.75,0.0149999996647239,21.25,0.00184356921818107,-0.00015815181541256607,-0.002186991274356842
117,38.75,0.0449999989941716,21.25,0.00120601034723222,-3.3318190162390238e-06,-0.001103219692595303
118,38.75,0.0750000011175871,21.25,0.00113036576658487,6.0299305914668366e-05,2.0431041775736958e-05
119,38.75,0.105000000447035,21.25,0.00134730362333357,-2.924013460869901e-05,0.0008481974364258349
120,38.75,0.135000001639128,21.25,0.00215461757034063,-4.2785806726897135e-05,0.0017535127699375153
121,38.75,0.0149999996647239,23.75,0.00209310720674694,1.7853461031336337e-05,-0.0021613219287246466
122,38.75,0.0449999989941716,23.75,0.00115077092777938,-4.828559758607298e-05,-0.0011012032628059387
