Z_distance_from_center_mm,initial_thickness_um,hold_thickness_um,unload_thickness_um,hold_change_from_initial_um,unload_change_from_initial_um
40,150,146.8561888,150.216043,-3.143811226,0.2160429955
41,150,146.8023658,150.2164751,-3.19763422,0.2164751291
42,150,146.7492282,150.2158493,-3.250771761,0.2158492804
43,150,146.695435,150.2245665,-3.304564953,0.2245664597
44,150,146.6421783,150.2223015,-3.357821703,0.2223014832
45,150,146.5884,150.2317786,-3.411599994,0.2317786217
46,150,146.535188,150.2284706,-3.46481204,0.2284705639
47,150,146.4817077,150.2424777,-3.518292308,0.2424776554
48,150,146.42784,150.2293348,-3.572160006,0.2293348312
49,150,146.3738084,150.2486467,-3.626191616,0.2486467361
50,150,146.3284194,150.3154039,-3.671580553,0.3154039383
