X_distance_from_deformation_center_mm,initial_thickness_um,D850_R425_10pct_hold_thickness_um,D950_R475_10pct_hold_thickness_um,D950_minus_D850_um,D850_compression_from_initial_um,D950_compression_from_initial_um
1.600000024,150,150.0053853,149.8158872,-0.1894980669,-0.005385279655,0.1841127872
1.700000048,150,150.0071585,150.0074565,0.0002980232239,-0.007158517838,-0.007456541061
1.799999952,150,149.9970555,150.0020772,0.005021691322,0.002944469452,-0.00207722187
1.899999976,150,150.0006616,149.9988586,-0.001803040504,-0.000661611557,0.001141428947
2,150,149.9998569,150.0002295,0.0003725290298,0.0001430511475,-0.0002294778824
2.099999905,150,150.0000656,150.000006,-5.960464478e-05,-6.556510925e-05,-5.960464478e-06
2.200000048,150,149.9999464,149.9999762,2.980232239e-05,5.36441803e-05,2.384185791e-05
2.299999952,150,150.0000358,150.000006,-2.980232239e-05,-3.576278687e-05,-5.960464478e-06
2.400000095,150,149.9999762,149.9999911,1.490116119e-05,2.384185791e-05,8.940696716e-06
2.5,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
2.599999905,150,149.9999762,149.9999911,1.490116119e-05,2.384185791e-05,8.940696716e-06
2.700000048,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
2.799999952,150,149.9999911,149.9999911,0,8.940696716e-06,8.940696716e-06
2.900000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
3,150,149.9999911,149.9999911,0,8.940696716e-06,8.940696716e-06
3.099999905,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
3.200000048,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
3.299999952,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
3.400000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
3.5,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
3.599999905,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
3.700000048,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
3.799999952,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
3.900000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4.099999905,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4.199999809,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4.300000191,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4.400000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4.5,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4.599999905,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4.699999809,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4.800000191,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
4.900000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
5,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
