x0_mm,z0_mm,x_final_mid_mm,final_thickness_mm,min_thickness_during_rolling_mm,min_time_in_rolling_s,rebound_final_minus_min_mm,rebound_pct_of_min_compression,final_reduction_pct,min_reduction_pct,final_le_target_0p135,top_node,bottom_node
-1.92307675,50.00000000,-1.83161724,0.138348013,0.138348013,0.150000006,0.000000000,0.000000,7.767995,7.767995,0,128,223
-1.61538470,-50.00000000,-1.49035144,0.135643557,0.135643557,0.150000006,0.000000000,0.000000,9.570966,9.570966,0,69,180
-1.61538470,-47.50000000,-1.49035108,0.135646313,0.135646313,0.150000006,0.000000000,0.000000,9.569128,9.569128,0,912,1380
-1.61538470,-44.99999619,-1.49034953,0.135650441,0.135650441,0.150000006,0.000000000,0.000000,9.566376,9.566376,0,911,1379
-1.61538470,-42.50000000,-1.49034679,0.135652065,0.135652065,0.150000006,0.000000000,0.000000,9.565293,9.565293,0,910,1378
-1.61538470,-40.00000000,-1.49034333,0.135651559,0.135651559,0.150000006,0.000000000,0.000000,9.565631,9.565631,0,909,1377
-1.61538470,-37.50000000,-1.49033880,0.135649785,0.135649785,0.150000006,0.000000000,0.000000,9.566813,9.566813,0,908,1376
-1.61538470,-35.00000000,-1.49033439,0.135650545,0.135650545,0.150000006,0.000000000,0.000000,9.566306,9.566306,0,907,1375
-1.61538470,-32.50000000,-1.49033010,0.135653615,0.135653615,0.150000006,0.000000000,0.000000,9.564260,9.564260,0,906,1374
-1.61538470,-30.00000000,-1.49032605,0.135653570,0.135653570,0.150000006,0.000000000,0.000000,9.564290,9.564290,0,905,1373
-1.61538470,-27.50000191,-1.49032164,0.135650665,0.135650665,0.150000006,0.000000000,0.000000,9.566227,9.566227,0,904,1372
-1.61538470,-25.00000000,-1.49031782,0.135649189,0.135649189,0.150000006,0.000000000,0.000000,9.567211,9.567211,0,903,1371
-1.61538470,-22.49999809,-1.49031472,0.135647312,0.135647312,0.150000006,0.000000000,0.000000,9.568463,9.568463,0,902,1370
-1.61538470,-20.00000000,-1.49031222,0.135648221,0.135648221,0.150000006,0.000000000,0.000000,9.567856,9.567856,0,901,1369
-1.61538470,-17.50000000,-1.49031055,0.135649219,0.135649219,0.150000006,0.000000000,0.000000,9.567191,9.567191,0,900,1368
-1.61538470,-15.00000000,-1.49030948,0.135647312,0.135647312,0.150000006,0.000000000,0.000000,9.568463,9.568463,0,899,1367
-1.61538470,-12.50000000,-1.49030936,0.135644034,0.135644034,0.150000006,0.000000000,0.000000,9.570648,9.570648,0,898,1366
-1.61538470,-10.00000000,-1.49030960,0.135641634,0.135641634,0.150000006,0.000000000,0.000000,9.572247,9.572247,0,897,1365
-1.61538470,-7.50000000,-1.49031067,0.135645598,0.135645598,0.150000006,0.000000000,0.000000,9.569605,9.569605,0,896,1364
-1.61538470,-5.00000000,-1.49031067,0.135651559,0.135651559,0.150000006,0.000000000,0.000000,9.565631,9.565631,0,895,1363
-1.61538470,-2.50000000,-1.49031031,0.135654375,0.135654375,0.150000006,0.000000000,0.000000,9.563754,9.563754,0,894,1362
-1.61538470,0.00000000,-1.49030972,0.135650620,0.135650620,0.150000006,0.000000000,0.000000,9.566257,9.566257,0,893,1361
-1.61538470,2.50000000,-1.49030864,0.135646909,0.135646909,0.150000006,0.000000000,0.000000,9.568731,9.568731,0,892,1360
-1.61538470,5.00000000,-1.49030781,0.135645151,0.135645151,0.150000006,0.000000000,0.000000,9.569903,9.569903,0,891,1359
