x0,z0,bottom_label,top_label,bottom_y_def,top_y_def,thickness_y,thickness_vec,reduction_y_mm,reduction_y_pct,top_u2,bottom_u2
-50.0,40.0,692,675,0.00073465734,0.14926557,0.14853092,0.14853091537952423,0.0014690846204757635,0.9793897469838424,-0.000734436,0.00073465734
-50.0,42.5,691,676,0.00073464523,0.14926559,0.14853095,0.14853094518184662,0.0014690548181533758,0.9793698787689172,-0.00073441677,0.00073464523
-50.0,44.999996,690,677,0.00073462736,0.1492656,0.14853097,0.148530974984169,0.001469025015830988,0.9793500105539921,-0.00073439913,0.00073462736
-50.0,47.5,689,678,0.00073461165,0.14926563,0.14853102,0.1485310196876526,0.0014689803123474066,0.9793202082316044,-0.00073437823,0.00073461165
-50.0,50.0,24,22,0.0007346076,0.14926565,0.14853103,0.14853103458881378,0.0014689654111862127,0.9793102741241418,-0.00073436444,0.0007346076
-47.5,-50.0,684,639,0.00069538073,0.14930439,0.14860901,0.1486090123653412,0.001390987634658808,0.9273250897725387,-0.0006956198,0.00069538073
-47.5,-47.5,5788,5593,0.00069539464,0.14930438,0.14860898,0.1486089825630188,0.0013910174369811956,0.9273449579874637,-0.0006956242,0.00069539464
-47.5,-44.999996,5787,5592,0.0006954175,0.14930436,0.14860894,0.14860893785953522,0.0013910621404647772,0.9273747603098514,-0.0006956385,0.0006954175
-47.5,-42.5,5786,5591,0.00069543894,0.14930436,0.14860892,0.14860892295837402,0.001391077041625971,0.9273846944173141,-0.00069565285,0.00069543894
-47.5,-40.0,5785,5590,0.0006954506,0.14930433,0.14860888,0.14860887825489044,0.0013911217451095526,0.9274144967397018,-0.0006956727,0.0006954506
-47.5,-37.5,5784,5589,0.000695467,0.14930432,0.14860885,0.14860884845256805,0.0013911515474319402,0.9274343649546268,-0.0006956841,0.000695467
-47.5,-35.0,5783,5588,0.0006954827,0.14930432,0.14860883,0.14860883355140686,0.001391166448593134,0.9274442990620895,-0.00069569156,0.0006954827
-47.5,-32.5,5782,5587,0.0006954958,0.14930432,0.14860882,0.14860881865024567,0.001391181349754328,0.927454233169552,-0.00069569744,0.0006954958
-47.5,-30.0,5781,5586,0.000695507,0.1493043,0.14860879,0.14860878884792328,0.0013912111520767156,0.9274741013844772,-0.0006957008,0.000695507
-47.5,-27.500002,5780,5585,0.0006955105,0.1493043,0.14860879,0.14860878884792328,0.0013912111520767156,0.9274741013844772,-0.00069570873,0.0006955105
-47.5,-25.0,5779,5584,0.0006955142,0.14930429,0.14860877,0.14860877394676208,0.0013912260532379095,0.9274840354919397,-0.0006957136,0.0006955142
-47.5,-22.499998,5778,5583,0.0006955251,0.1493043,0.14860877,0.14860877394676208,0.0013912260532379095,0.9274840354919397,-0.0006957094,0.0006955251
-47.5,-20.0,5777,5582,0.00069552835,0.1493043,0.14860877,0.14860877394676208,0.0013912260532379095,0.9274840354919397,-0.00069571065,0.00069552835
-47.5,-17.5,5776,5581,0.0006955336,0.1493043,0.14860877,0.14860877394676208,0.0013912260532379095,0.9274840354919397,-0.0006957089,0.0006955336
-47.5,-15.0,5775,5580,0.000695543,0.1493043,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.0006957017,0.000695543
-47.5,-12.5,5774,5579,0.00069555285,0.14930432,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.0006956938,0.00069555285
-47.5,-10.0,5773,5578,0.000695568,0.14930433,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.0006956798,0.000695568
-47.5,-7.5,5772,5577,0.0006955791,0.14930433,0.14860874,0.1486087441444397,0.0013912558555602972,0.9275039037068649,-0.0006956697,0.0006955791
-47.5,-5.0,5771,5576,0.00069559016,0.14930435,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.00069565896,0.00069559016
-47.5,-2.5,5770,5575,0.00069560594,0.14930436,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.00069564354,0.00069560594
-47.5,0.0,5769,5574,0.0006956209,0.14930438,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.0006956285,0.0006956209
-47.5,2.5,5768,5573,0.00069563533,0.14930439,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.0006956141,0.00069563533
-47.5,5.0,5767,5572,0.00069564773,0.1493044,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.00069560134,0.00069564773
-47.5,7.5,5766,5571,0.0006956638,0.14930442,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.00069558487,0.0006956638
-47.5,10.0,5765,5570,0.0006956839,0.14930445,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.0006955638,0.0006956839
-47.5,12.5,5764,5569,0.00069569494,0.14930445,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.0006955516,0.00069569494
-47.5,15.0,5763,5568,0.00069569785,0.14930446,0.14860877,0.14860877394676208,0.0013912260532379095,0.9274840354919397,-0.0006955468,0.00069569785
-47.5,17.5,5762,5567,0.00069570635,0.14930446,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.000695536,0.00069570635
-47.5,20.0,5761,5566,0.00069571374,0.14930448,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.00069552514,0.00069571374
-47.5,22.499998,5760,5565,0.0006957142,0.14930448,0.14860876,0.1486087590456009,0.0013912409543991033,0.9274939695994022,-0.0006955201,0.0006957142
-47.5,25.0,5759,5564,0.00069571007,0.1493045,0.14860879,0.14860878884792328,0.0013912111520767156,0.9274741013844772,-0.00069551764,0.00069571007
-47.5,27.500002,5758,5563,0.0006957085,0.1493045,0.14860879,0.14860878884792328,0.0013912111520767156,0.9274741013844772,-0.00069551065,0.0006957085
-47.5,30.0,5757,5562,0.00069570704,0.14930451,0.1486088,0.14860880374908447,0.0013911962509155218,0.9274641672770145,-0.0006955007,0.00069570704
-47.5,32.5,5756,5561,0.00069569837,0.14930451,0.1486088,0.14860880374908447,0.0013911962509155218,0.9274641672770145,-0.00069549476,0.00069569837
-47.5,35.0,5755,5560,0.00069569313,0.14930452,0.14860883,0.14860883355140686,0.001391166448593134,0.9274442990620895,-0.00069548097,0.00069569313
-47.5,37.5,5754,5559,0.00069568545,0.14930454,0.14860885,0.14860884845256805,0.0013911515474319402,0.9274343649546268,-0.0006954656,0.00069568545
-47.5,40.0,5753,5558,0.00069567235,0.14930455,0.14860888,0.14860887825489044,0.0013911217451095526,0.9274144967397018,-0.0006954508,0.00069567235
-47.5,42.5,5752,5557,0.0006956602,0.14930457,0.14860891,0.14860890805721283,0.0013910919427871649,0.9273946285247766,-0.00069543155,0.0006956602
-47.5,44.999996,5751,5556,0.0006956422,0.1493046,0.14860895,0.1486089527606964,0.0013910472393035833,0.9273648262023889,-0.00069541374,0.0006956422
-47.5,47.5,5750,5555,0.00069562625,0.14930461,0.14860898,0.1486089825630188,0.0013910174369811956,0.9273449579874637,-0.0006953925,0.00069562625
-47.5,50.0,732,679,0.00069562194,0.14930463,0.14860901,0.1486090123653412,0.001390987634658808,0.9273250897725387,-0.00069537846,0.00069562194
-44.999996,-50.0,685,638,0.0005951206,0.14940464,0.14880952,0.1488095223903656,0.0011904776096343939,0.7936517397562626,-0.0005953589,0.0005951206
-44.999996,-47.5,5749,5554,0.000595135,0.14940464,0.14880951,0.1488095074892044,0.0011904925107955877,0.7936616738637252,-0.00059536396,0.000595135
-44.999996,-44.999996,5748,5553,0.0005951584,0.14940463,0.14880948,0.14880947768688202,0.0011905223131179754,0.7936815420786503,-0.00059537916,0.0005951584
