ODB: E:\abaqus\3D50mm\RollPress_3D_SelfSupport_DiffSpeed_DPC_S00008B5_50mm_Roll2mm_RigidRoller_Stable.odb
Step: Rolling, frames=81, final_frame_value=0.15000000596
Initial thickness: 0.150000000 mm
Nominal target thickness: 0.135000000 mm
Column count: 2378
Overall thickness_y min/mean/max: 0.126781732 / 0.147119995 / 0.150000334 mm
Overall reduction pct min/mean/max: -0.000223 / 1.920003 / 15.478845 %
Min thickness column: x0=0.00000000 z0=0.00000000 thickness=0.126781732 reduction=15.478845% labels=(764,807)
Columns <= target 0.135000000 mm: 205
Columns reduced >= 0.001 mm: 697
Columns reduced >= 0.005 mm: 369
Columns reduced >= 0.010 mm: 287

Region stats: name,count,min,mean,max,red_min_pct,red_mean_pct,red_max_pct
all_columns,2378,0.12678173,0.147119995,0.15000033,-0.000222524,1.920003486,15.478845437
near_nip_x_-2_to_0,287,0.12678173,0.131428976,0.13838126,7.745828231,12.380682571,15.478845437
near_front_x_-5_to_0,697,0.12678173,0.140569866,0.14972404,0.183975697,6.286755913,15.478845437
upstream_x_-50_to_-10,1353,0.14853078,0.149803312,0.15000018,-0.000123183,0.131125378,0.979479154

Station stats by initial x: x,count,min_thk,mean_thk,max_thk,min_red_pct,mean_red_pct,max_red_pct
-50.00000000,41,0.148530781,0.148530852,0.148531035,0.979310,0.979432,0.979479
-47.50000000,41,0.148608744,0.148608821,0.148609012,0.927325,0.927453,0.927504
-44.99999619,41,0.148809269,0.148809338,0.148809522,0.793652,0.793775,0.793821
-42.50000000,41,0.149069458,0.149069529,0.149069726,0.620182,0.620314,0.620361
-40.00000000,41,0.149335280,0.149335360,0.149335563,0.442958,0.443093,0.443147
-37.50000000,41,0.149563819,0.149563887,0.149564087,0.290608,0.290742,0.290787
-35.00000000,41,0.149725541,0.149725619,0.149725825,0.182784,0.182921,0.182972
-33.50000000,41,0.149889648,0.149889721,0.149889916,0.073389,0.073520,0.073568
-32.00000000,41,0.149975836,0.149975898,0.149976090,0.015940,0.016068,0.016109
-30.49999809,41,0.149999872,0.149999933,0.150000080,-0.000054,0.000045,0.000085
-29.00000000,41,0.150000140,0.150000150,0.150000185,-0.000123,-0.000100,-0.000093
-27.50000191,41,0.149999991,0.150000011,0.150000066,-0.000044,-0.000008,0.000006
-26.00000000,41,0.150000006,0.150000023,0.150000036,-0.000024,-0.000015,-0.000004
-24.49999809,41,0.150000036,0.150000056,0.150000066,-0.000044,-0.000037,-0.000024
-23.00000000,41,0.149999946,0.149999963,0.149999976,0.000016,0.000025,0.000036
-21.50000191,41,0.150000051,0.150000067,0.150000080,-0.000054,-0.000045,-0.000034
-20.00000000,41,0.149999946,0.149999957,0.149999976,0.000016,0.000029,0.000036
-19.38461494,41,0.149999961,0.150000031,0.150000051,-0.000034,-0.000021,0.000026
-18.76922989,41,0.149999946,0.149999974,0.149999991,0.000006,0.000017,0.000036
-18.15384674,41,0.149999976,0.150000023,0.150000036,-0.000024,-0.000015,0.000016
-17.53846169,41,0.149999961,0.149999990,0.150000006,-0.000004,0.000007,0.000026
-16.92307663,41,0.149999976,0.150000009,0.150000021,-0.000014,-0.000006,0.000016
-16.30769157,41,0.149999961,0.149999998,0.150000006,-0.000004,0.000001,0.000026
-15.69230747,41,0.149999976,0.150000009,0.150000021,-0.000014,-0.000006,0.000016
-15.07692242,41,0.149999976,0.150000004,0.150000006,-0.000004,-0.000003,0.000016
-14.46153831,41,0.149999976,0.150000003,0.150000006,-0.000004,-0.000002,0.000016
-13.84615421,41,0.149999991,0.150000009,0.150000021,-0.000014,-0.000006,0.000006
-13.23076820,41,0.149999961,0.149999996,0.150000006,-0.000004,0.000003,0.000026
-12.61538601,41,0.149999991,0.150000019,0.150000036,-0.000024,-0.000013,0.000006
-12.00000000,41,0.149999946,0.149999977,0.149999991,0.000006,0.000016,0.000036
-11.41666698,41,0.150000021,0.150000041,0.150000051,-0.000034,-0.000027,-0.000014
-10.83333206,41,0.149999931,0.149999950,0.149999961,0.000026,0.000033,0.000046
-10.25000000,41,0.150000051,0.150000077,0.150000080,-0.000054,-0.000051,-0.000034
-9.66666698,41,0.149999902,0.149999906,0.149999917,0.000056,0.000063,0.000066
-9.08333302,41,0.150000125,0.150000144,0.150000155,-0.000103,-0.000096,-0.000083
